,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
27,295190739,t,100355450394011426,864691135644700911,100355450394011335,864691135909776553,27584,[258670 132474  18526],[258708 132368  18527],[258736 132418  18530],"[984.5592507625544, 221.3868574358861, 741.0400000000001]",L2/3
44,302359304,t,100991586388884486,864691135528125426,100991586388890891,864691135909776553,1856,[263672 153532  17037],[263702 153464  17038],[263698 153514  17040],"[997.1498117588533, 307.04214134644513, 681.4800000000001]",L4
49,278608998,t,98739099783509749,864691136601956561,98739099850025357,864691135909776553,820,[246976 148482  20479],[246908 148546  20491],[246975 148508  20484],"[932.3804910449968, 281.0983993213322, 819.1600000000002]",L2/3
57,331227900,t,103382612063657446,864691136572071330,103382612063659797,864691135909776553,4524,[281012 142356  18488],[280946 142448  18491],[281022 142402  18485],"[1070.142086342288, 268.5533758799294, 739.5200000000001]",L2/3
73,291739017,t,99652175067809577,864691136000612232,99722543812037323,864691135909776553,9952,[253932 135770  17038],[254046 135804  17043],[254009 135795  17039],"[964.5303075319343, 232.86891269897407, 681.5200000000001]",L2/3
82,288054263,t,99650457147846669,864691135602992195,99650457147817613,864691135909776553,3120,[253518 123036  17423],[253638 122910  17410],[253584 122976  17418],"[967.3199740244893, 181.98240964698275, 696.9200000000002]",L2/3
115,291529306,t,99792843971133671,864691137196925761,99792843971149449,864691135909776553,976,[254942 135136  18272],[254916 135082  18279],[254896 135130  18276],"[968.7759610758332, 230.6946721453139, 730.8800000000001]",L2/3
116,302253088,t,100919431139502175,864691135761509430,100919499858972472,864691135909776553,264,[262826 140458  18459],[262800 140514  18455],[262794 140484  18459],"[998.3365856232422, 254.6502083815812, 738.3600000000001]",L2/3
119,308444861,t,101551444234551946,864691135697669653,101551444234542016,864691135909776553,3936,[267454 130380  19338],[267504 130320  19332],[267486 130350  19335],"[1020.2915641759604, 216.10503482185135, 773.5200000000001]",L2/3
172,249093383,t,96696894038147936,864691136390418303,96696894038137539,864691135909776553,7156,[232120 137266  17793],[232200 137226  17781],[232154 137230  17787],"[877.0927725482238, 231.2259775291073, 711.7200000000001]",L2/3
195,284989562,t,99511093847965469,864691136029948808,99581462592146514,864691135909776553,5828,[252922 133048  16135],[252964 133004  16125],[252911 133081  16133],"[961.4546326786802, 221.67023562545057, 645.4000000000001]",L2/3
196,290882133,t,99720276136319729,864691135683952311,99720344855795518,864691135909776553,2032,[254172 118900  17520],[254232 119016  17511],[254168 118958  17517],"[971.3679239627145, 165.7293639847808, 700.8000000000002]",L2/3
205,291688786,t,99652381360378596,864691135699256098,99652381360380830,864691135909776553,4496,[253924 137268  17985],[253972 137250  17995],[253982 137288  17990],"[963.9761920910515, 238.83532234617178, 719.4000000000001]",L2/3
206,266939429,t,98450408858867190,864691136451340799,98450408858864951,864691135909776553,1292,[245046  94468  17231],[244924  94528  17232],[245018  94510  17230],"[943.5203891308166, 65.19171529641014, 689.2400000000001]",L1
219,275521393,t,98878600052681674,864691135875975507,98878600052689320,864691135909776553,10320,[247956 139114  18318],[247952 139218  18324],[247923 139128  18318],"[939.5514742537567, 244.11064210600912, 732.7200000000001]",L2/3
224,302301651,t,100988563000264818,864691135569022342,100988563000261393,864691135909776553,892,[263508 131152  19016],[263582 131192  19015],[263530 131168  19014],"[1004.2984901276754, 217.80561780602957, 760.6400000000001]",L2/3
