,post_pt_root_id,cortex_layer,n_connections
1,864691134884807418,L2/3,201
2,864691134884807418,L4,6
4,864691134884871930,L2/3,41
6,864691134884892666,L2/3,278
9,864691134988722810,L2/3,240
10,864691134988722810,L4,9
14,864691135012644086,L2/3,99
16,864691135013120406,L2/3,214
17,864691135013120406,L4,2
19,864691135013235606,L2/3,137
21,864691135100167712,L2/3,498
22,864691135100167712,L4,69
25,864691135113511065,L2/3,300
26,864691135113511065,L4,29
27,864691135233441369,L2/3,387
28,864691135233441369,L4,74
31,864691135272206865,L2/3,171
32,864691135272206865,L4,5
35,864691135293126156,L2/3,185
36,864691135293126156,L4,14
39,864691135323181212,L2/3,110
41,864691135323237532,L2/3,85
42,864691135323237532,L4,31
45,864691135345425311,L2/3,218
46,864691135345425311,L4,1
49,864691135359111256,L2/3,73
51,864691135367211513,L2/3,213
53,864691135373819592,L2/3,366
54,864691135373819592,L4,1
56,864691135394158069,L2/3,282
57,864691135394158069,L4,12
59,864691135396520481,L2/3,196
60,864691135396520481,L4,117
62,864691135396580129,L2/3,377
63,864691135396580129,L4,175
66,864691135415666362,L2/3,284
67,864691135415666362,L4,3
70,864691135440543560,L2/3,66
71,864691135440543560,L4,34
73,864691135445930386,L2/3,508
74,864691135445930386,L4,138
77,864691135446872916,L2/3,131
79,864691135462502557,L2/3,138
80,864691135462578333,L2/3,237
81,864691135462578333,L4,210
84,864691135467580044,L2/3,190
86,864691135472343346,L2/3,255
88,864691135474915136,L2/3,73
90,864691135478396358,L2/3,268
91,864691135478396358,L4,39
94,864691135490498663,L2/3,361
96,864691135490940135,L2/3,554
97,864691135490940135,L4,62
101,864691135491529311,L2/3,166
103,864691135494434448,L2/3,341
104,864691135494434448,L4,95
107,864691135497743635,L2/3,182
108,864691135497743635,L4,94
111,864691135502235573,L2/3,122
112,864691135502364341,L2/3,378
113,864691135502364341,L4,106
116,864691135502366389,L2/3,386
117,864691135502366389,L4,11
120,864691135502367669,L2/3,362
121,864691135502367669,L4,66
124,864691135517422218,L2/3,121
125,864691135517422218,L4,8
127,864691135517531786,L2/3,124
128,864691135517531786,L4,2
130,864691135560494305,L2/3,336
131,864691135560494305,L4,38
133,864691135560718049,L2/3,118
136,864691135564739159,L2/3,86
137,864691135564739159,L4,42
139,864691135564752471,L2/3,172
140,864691135564752471,L4,14
142,864691135583884664,L2/3,220
143,864691135583884664,L4,9
145,864691135590140683,L2/3,289
146,864691135590140683,L4,34
149,864691135590178571,L2/3,45
150,864691135590178571,L4,89
151,864691135684442807,L2/3,579
152,864691135684442807,L4,154
155,864691135730442425,L2/3,157
157,864691135753909197,L2/3,191
158,864691135753909197,L4,10
160,864691135753932237,L2/3,76
161,864691135753932237,L4,43
163,864691135754910674,L2/3,180
165,864691135758647630,L2/3,121
166,864691135758647630,L4,5
168,864691135761634358,L2/3,91
169,864691135761634358,L4,45
172,864691135776164525,L2/3,173
174,864691135776777056,L2/3,72
176,864691135785513412,L2/3,247
177,864691135785513412,L4,1
179,864691135785513668,L2/3,214
180,864691135785513668,L4,16
182,864691135785577156,L2/3,130
183,864691135785577156,L4,38
186,864691135800027234,L2/3,69
188,864691135807648541,L2/3,91
190,864691135809759436,L2/3,169
191,864691135809759436,L4,12
193,864691135815579983,L2/3,146
196,864691135848030814,L2/3,150
197,864691135848030814,L4,18
198,864691135855791662,L2/3,187
199,864691135855791662,L4,34
201,864691135855890478,L2/3,216
202,864691135855890478,L4,1
205,864691135855919918,L2/3,241
208,864691135856060718,L2/3,116
210,864691135888465801,L2/3,319
212,864691135926407380,L2/3,122
214,864691135941274484,L2/3,27
216,864691135946763105,L2/3,169
218,864691135952122147,L2/3,137
221,864691135953985800,L2/3,128
224,864691135975539779,L2/3,161
225,864691135975539779,L4,2
227,864691136004907466,L2/3,125
229,864691136008689326,L2/3,234
230,864691136008689326,L4,4
232,864691136008780972,L2/3,427
233,864691136008780972,L4,228
236,864691136011157155,L2/3,219
237,864691136011157155,L4,28
240,864691136020517624,L2/3,189
241,864691136020517624,L4,3
244,864691136020729592,L2/3,51
246,864691136039640318,L2/3,136
247,864691136039640318,L4,1
249,864691136041433686,L2/3,114
251,864691136065399960,L2/3,184
252,864691136065399960,L4,53
254,864691136065632152,L2/3,79
256,864691136065632920,L2/3,202
257,864691136084466796,L2/3,66
258,864691136084466796,L4,8
260,864691136108938168,L2/3,194
261,864691136108938168,L4,4
264,864691136136955005,L2/3,85
266,864691136209328060,L2/3,205
267,864691136209328060,L4,20
269,864691136209426876,L2/3,235
270,864691136209426876,L4,1
273,864691136227167569,L2/3,153
274,864691136227167569,L4,1
276,864691136236829711,L2/3,109
278,864691136266561524,L2/3,265
280,864691136266765044,L2/3,82
281,864691136266765044,L4,76
284,864691136309871706,L2/3,108
285,864691136309871706,L4,1
287,864691136388605303,L2/3,123
289,864691136388862736,L2/3,61
290,864691136388862736,L4,84
293,864691136662432990,L2/3,499
294,864691136662432990,L4,25
296,864691136812081779,L2/3,169
297,864691136812081779,L4,1
300,864691136812258931,L2/3,95
301,864691136812258931,L4,107
304,864691136814964078,L2/3,233
305,864691136814964078,L4,21
306,864691136925601354,L2/3,43
307,864691136925601354,L4,60
308,864691136966045646,L2/3,377
309,864691136966045646,L4,300
312,864691137053995126,L2/3,525
313,864691137053995126,L4,83
315,864691137197329985,L2/3,57
316,864691137197329985,L4,89
