,pre_pt_root_id,post_pt_root_id,size,ctr_pt_position,pial_distances,layer
0,864691135489264442,864691136195208424,3532,[191904 112820  21249],"[725.3633457832303, 119.79385376954481, 849.9600000000003]",L23
1,864691135195576362,864691136195208424,2364,[183612 136680  22665],"[684.0034159490868, 211.97989407996664, 906.6000000000003]",L23
0,864691135195576362,864691136005442762,1196,[200630 133184  22013],"[753.0351673441713, 203.9819731421703, 880.5200000000002]",L23
1,864691135397503777,864691136005442762,10976,[170816  97868  21282],"[646.5449412720473, 52.86168005382322, 851.2800000000002]",L1
2,864691135195576362,864691136005442762,1884,[200329 134112  22075],"[751.5122268105896, 207.57491234721877, 883.0000000000002]",L23
3,864691136923990500,864691136005442762,3256,[193306 112256  22639],"[731.1466290057674, 118.03520793597872, 905.5600000000003]",L23
4,864691136106568409,864691136005442762,2504,[183314 130004  21994],"[685.1433588232948, 185.2736212167695, 879.7600000000002]",L23
5,864691135256626095,864691136005442762,8296,[182754 134684  20184],"[681.2803271953333, 203.72715710129222, 807.3600000000002]",L23
6,864691135256626095,864691136005442762,868,[165623 133032  20813],"[613.5930068513709, 191.17204242026148, 832.5200000000002]",L23
7,864691135954311176,864691136005442762,7584,[177306 121009  22220],"[664.3386714628147, 147.3360091697168, 888.8000000000003]",L23
8,864691135182900482,864691136005442762,13288,[176762  97333  22535],"[670.4249492609414, 52.80273558541719, 901.4000000000002]",L1
9,864691135489264442,864691136005442762,5344,[167910 132376  24574],"[622.9348926184841, 189.35532826712432, 982.9600000000003]",L23
10,864691135489264442,864691136005442762,5876,[168136 132028  24502],"[623.9567734194638, 188.04741403882446, 980.0800000000003]",L23
11,864691136106568409,864691136005442762,3844,[177780 124466  22386],"[665.0222669996821, 161.276636743179, 895.4400000000003]",L23
12,864691135489264442,864691136005442762,10892,[175888 117634  20624],"[659.8648576623317, 133.39303337261342, 824.9600000000003]",L23
13,864691135323181212,864691136005442762,4492,[181036  97092  21470],"[687.5399119555266, 53.332418474470735, 858.8000000000003]",L1
14,864691135489264442,864691136005442762,1804,[189266 118216  21848],"[712.9703297775008, 140.3760527356838, 873.9200000000003]",L23
15,864691136209328060,864691136005442762,2764,[172012 128192  23968],"[640.7390937353982, 174.11306522686436, 958.7200000000003]",L23
16,864691135489264442,864691136005442762,1752,[173700 115936  20796],"[651.7381234693748, 125.8640919226468, 831.8400000000003]",L23
17,864691135489264442,864691136005442762,5340,[194244 108406  22813],"[736.2265499513215, 103.02081793215504, 912.5200000000002]",L23
18,864691135489264442,864691136005442762,10728,[187780 127634  20828],"[703.7656173512537, 177.38664566730387, 833.1200000000002]",L23
19,864691135489264442,864691136005442762,668,[175707 126123  21600],"[656.1841523001739, 167.15671978326753, 864.0000000000002]",L23
20,864691135489264442,864691136005442762,6208,[181742 132062  23718],"[678.1618204873952, 192.92626066106342, 948.7200000000003]",L23
21,864691135489264442,864691136005442762,7516,[168350 131826  24479],"[624.8799379211704, 187.31709403855825, 979.1600000000003]",L23
22,864691135489264442,864691136005442762,3484,[174311 142046  21342],"[645.0702775389457, 230.11967482662405, 853.6800000000003]",L23
23,864691135489264442,864691136005442762,2340,[187508 128384  21051],"[702.4202902914868, 180.28040431346972, 842.0400000000003]",L23
0,864691135195576362,864691134965486879,3756,[174416  97694  21945],"[660.9508053215208, 53.42337123951764, 877.8000000000003]",L1
1,864691135256626095,864691134965486879,400,[173284 124851  20027],"[646.9724817053688, 161.24336770066637, 801.0800000000003]",L23
2,864691135954311176,864691134965486879,2040,[172988 143732  21959],"[639.210636867554, 236.37678367993416, 878.3600000000002]",L23
3,864691135256626095,864691134965486879,1792,[183612 141628  19433],"[682.2784294886252, 231.69657954459853, 777.3200000000002]",L23
4,864691135489264442,864691134965486879,2168,[184886 140499  20915],"[687.7486330043491, 227.6419099530583, 836.6000000000003]",L23
5,864691135256626095,864691134965486879,1680,[174078 146978  20328],"[642.4224155873984, 249.69137467833718, 813.1200000000002]",L23
6,864691135256626095,864691134965486879,2028,[161342 132964  21151],"[596.5578752032752, 189.40862252356956, 846.0400000000003]",L23
7,864691135491529311,864691134965486879,192,[169250 114936  21397],"[634.3544808143324, 120.32794090937153, 855.8800000000002]",L23
8,864691135783071283,864691134965486879,328,[172080 157976  21256],"[630.6266721252942, 292.81942314074996, 850.2400000000002]",L4
9,864691135256626095,864691134965486879,4692,[168934 143196  22393],"[623.2432055557492, 232.8276247228295, 895.7200000000003]",L23
10,864691135256626095,864691134965486879,1072,[178539 138251  21237],"[663.2409464479827, 216.47141723093966, 849.4800000000002]",L23
11,864691135256626095,864691134965486879,8044,[179128 136888  21275],"[666.0631542661472, 211.24550266685694, 851.0000000000002]",L23
12,864691135256626095,864691134965486879,1296,[171650 126650  20018],"[639.834180433829, 167.84233481353587, 800.7200000000003]",L23
13,864691135195576362,864691134965486879,5140,[187998 132916  21771],"[702.7928725952171, 198.51024705626216, 870.8400000000003]",L23
14,864691135256626095,864691134965486879,5472,[171046 137434  20300],"[633.6678239240763, 210.6036210359431, 812.0000000000002]",L23
