target_id,pt_root_id,cell_type,pt_position,pial_distances,layer,brain_region
18023,864691135207734905,inh,[ 81008 108240  16995],"[285.0640100320384, 62.882673909526844, 679.8000000000002]",L1,V1
18312,864691135758479438,inh,[ 77392 105280  17650],"[271.6869739129717, 49.82710802101845, 706.0000000000001]",L1,V1
255686,864691135568539372,exc,[175760 126480  15504],"[656.2708871755257, 168.59776282960496, 620.1600000000001]",L23,V1
204945,864691135208560505,exc,[142992 241984  19204],"[485.43030806594226, 617.4319749497399, 768.1600000000001]",L6,V1
20558,864691135535098473,inh,[ 73312 104240  21334],"[255.7916443299447, 44.26055635531497, 853.3600000000002]",L1,V1
20639,864691136143741847,inh,[ 78944 110368  21106],"[276.09755692232494, 70.64272536755907, 844.2400000000002]",L1,V1
235619,864691135645393647,exc,[158928 231792  15515],"[552.4849082214391, 582.3747651636423, 620.6000000000001]",L6,V1
21781,864691135864089470,exc,[ 79632 121456  16754],"[274.9735532291293, 115.06580522136576, 670.1600000000001]",L23,V1
21783,864691135560505569,exc,[ 80128 124000  16563],"[276.0631066719431, 125.37599946275871, 662.5200000000001]",L23,V1
21785,864691136315868311,exc,[ 80144 126928  16622],"[275.1060950735604, 137.04900973434508, 664.8800000000001]",L23,V1
21787,864691136324529047,exc,[ 80560 120192  16874],"[279.112087383778, 110.35256694489316, 674.9600000000002]",L23,V1
21788,864691135462278045,exc,[ 80896 123024  16680],"[279.46367280416786, 121.75459780312936, 667.2000000000002]",L23,V1
21790,864691135945519140,exc,[ 81600 119296  16558],"[283.5686235098472, 107.14477303676261, 662.3200000000002]",L23,V1
22033,864691135274095077,exc,[ 80080 123744  17536],"[275.96108477048307, 124.33916218930518, 701.4400000000002]",L23,V1
22036,864691135589949195,exc,[ 81040 125248  17264],"[279.2621434627855, 130.6669475451762, 690.5600000000002]",L23,V1
22388,864691136237494332,exc,[ 81168 124816  18561],"[279.92280027167646, 128.99014684716047, 742.4400000000002]",L23,V1
22941,864691135614145483,exc,[ 79888 121248  19370],"[276.0661701779413, 114.32621871312702, 774.8000000000002]",L23,V1
22948,864691135945493796,exc,[ 80448 122768  18821],"[277.76773938576105, 120.5783113412796, 752.8400000000001]",L23,V1
22970,864691135162232877,exc,[ 66144 117984  20072],"[222.43727583296288, 96.52842662154592, 802.8800000000002]",L1,V1
23083,864691135403774702,exc,[ 67616 125632  20278],"[225.6366017331907, 127.51718783886685, 811.1200000000002]",L23,V1
293640,864691135446421138,exc,[195104 137760  15269],"[729.4199810222981, 220.28983035834744, 610.7600000000001]",L23,V1
23114,864691135135408153,exc,[ 69264 119728  20245],"[234.26178720374023, 104.56558450492477, 809.8000000000003]",L23,V1
493863,864691135163133229,exc,[284800 166096  25563],"[1076.9601190764567, 364.472608224834, 1022.5200000000002]",L4,RL
23141,864691135468118156,exc,[ 71344 121536  20214],"[241.91981676031247, 112.49520034118474, 808.5600000000003]",L23,V1
174975,864691135118550749,exc,[115696 268624  23252],"[367.3744702023027, 714.070469362236, 930.0800000000003]",unidentified,V1
3813,864691135724233643,exc,[ 64400 121984  20069],"[214.09332973511235, 111.85954332960618, 802.7600000000002]",L23,V1
3819,864691136436395166,exc,[ 65248 123392  20039],"[216.98156100788475, 117.76574414865894, 801.5600000000003]",L23,V1
23136,864691135502726837,exc,[ 71216 117440  20016],"[242.83772476406716, 96.12892266736279, 800.6400000000002]",L1,V1
4078,864691135776658528,exc,[ 65536 126464  20622],"[217.0582075332032, 130.1073880144556, 824.8800000000002]",L23,V1
555657,864691135848735582,exc,[312160 147968  15100],"[1192.3035040537354, 301.7748627631091, 604.0000000000001]",L4,AL
28178,864691135468040121,inh,[ 81040 144400  16812],"[272.58531632237293, 206.98343097658858, 672.4800000000001]",L23,V1
30120,864691135976025667,inh,[ 67200 146528  21066],"[216.69410815374582, 210.63809832823515, 842.6400000000002]",L23,V1
30104,864691136577941268,exc,[ 66112 149040  20326],"[211.48292792452204, 220.2685608622232, 813.0400000000003]",L23,V1
28760,864691135593557035,exc,[ 81296 154544  17629],"[270.0689882754899, 247.4942745269328, 705.1600000000001]",L23,V1
28761,864691135501810013,exc,[ 81840 143264  17919],"[276.16917505131187, 202.73562064525223, 716.7600000000001]",L23,V1
29808,864691136333746355,exc,[ 66224 155712  20154],"[209.60321068681768, 246.8940507376467, 806.1600000000002]",L23,V1
29845,864691135122295079,exc,[ 69248 151872  20206],"[222.9918939635394, 232.64673603923322, 808.2400000000002]",L23,V1
29864,864691135617737103,inh,[ 70384 158976  20150],"[225.04198508575087, 261.3506402752535, 806.0000000000002]",L23,V1
29872,864691135571221285,exc,[ 70848 154288  20280],"[228.52526693341326, 242.83175835517685, 811.2000000000003]",L23,V1
201330,864691135867650582,exc,[139792 220576  21293],"[480.14233649333545, 531.0102370555776, 851.7200000000003]",L5,V1
29924,864691136296739099,inh,[ 73792 149888  20090],"[241.79039677050042, 226.3250776953585, 803.6000000000003]",L23,V1
29941,864691135699275042,exc,[ 73712 150832  20289],"[241.1425143824959, 230.05881903767371, 811.5600000000003]",L23,V1
623477,864691135367860729,exc,[356384 234144  19413],"[1338.483428219284, 660.5846622432158, 776.5200000000001]",L6,AL
30093,864691135294045964,exc,[ 81488 144336  19820],"[274.39280909149676, 206.88458822488093, 792.8000000000003]",L23,V1
30060,864691134964448287,exc,[ 79632 156800  20083],"[262.65182294243635, 255.90382685878436, 803.3200000000003]",L23,V1
30092,864691135272178705,exc,[ 81280 145328  20130],"[273.2181411154617, 210.76497520894296, 805.2000000000003]",L23,V1
30095,864691135776620896,exc,[ 81952 158752  19928],"[271.215997701354, 264.490920354183, 797.1200000000002]",L23,V1
30102,864691135560468961,exc,[ 65680 158192  20757],"[206.57090605571324, 256.5866512464979, 830.2800000000002]",L23,V1
30147,864691135099838240,exc,[ 72880 155696  20931],"[236.13147629634815, 249.15072877188254, 837.2400000000002]",L23,V1
194144,864691135614842827,exc,[136400 170640  17951],"[484.03480350901486, 330.8437941623397, 718.0400000000001]",L4,V1
30499,864691136287365059,exc,[ 74784 156272  21297],"[243.51768828572426, 252.10973949305207, 851.8800000000002]",L23,V1
73930,864691136040206078,exc,[ 95904 167904  18987],"[323.6210339819519, 305.82360355318696, 759.4800000000001]",L4,V1
30163,864691135823391340,inh,[ 76048 145120  20994],"[252.44229205176367, 208.1121458359076, 839.7600000000002]",L23,V1
30171,864691135469590457,exc,[ 75952 159712  20297],"[246.97264689500116, 266.22457016891155, 811.8800000000002]",L23,V1
30174,864691135622549929,exc,[ 76608 149248  20512],"[253.23465255123983, 224.75654155455325, 820.4800000000002]",L23,V1
30181,864691135181824514,exc,[ 78240 144928  20855],"[261.24386277506227, 208.11124986018456, 834.2000000000003]",L23,V1
30183,864691135194418986,exc,[ 79344 157408  21022],"[261.29224388387235, 258.22616894889825, 840.8800000000002]",L23,V1
30157,864691135208161401,exc,[ 74864 156528  20603],"[243.74722310854006, 253.1577327015772, 824.1200000000002]",L23,V1
30187,864691135337743846,exc,[ 79648 155904  20916],"[263.02794558512187, 252.33904302835936, 836.6400000000002]",L23,V1
30189,864691135939649702,exc,[ 80176 147424  20860],"[268.08823158149215, 218.7321917977705, 834.4000000000002]",L23,V1
30248,864691136388279671,exc,[ 67024 153936  21198],"[213.4101881171906, 240.09598197919556, 847.9200000000003]",L23,V1
