Population,ET_0,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,EU,I,XT_0,XT_1,XT_2,XT_3,XT_4,XT_5,XT_6,XT_7,XU
ET_0,0.007685118672644279,0.0072911152035533755,0.006938477065634896,0.005972634736524503,0.005363931382984171,0.0059285545497866484,0.007015234577736637,0.007334304161163219,0.006770692410613548,0.0309952124398293,0.004914751175817138,0.004232821601852604,0.003955052097056552,0.004107220904470916,0.0036631384640400957,0.003706554576731936,0.00385977715415253,0.00425301923884459,0.004543895340213381
ET_1,0.007334304161163219,0.007685118672644279,0.0072911152035533755,0.006938477065634896,0.005972634736524503,0.005363931382984171,0.0059285545497866484,0.007015234577736637,0.006770692410613548,0.0309952124398293,0.00425301923884459,0.004914751175817138,0.004232821601852604,0.003955052097056552,0.004107220904470916,0.0036631384640400957,0.003706554576731936,0.00385977715415253,0.004543895340213381
ET_2,0.007015234577736637,0.007334304161163219,0.007685118672644279,0.0072911152035533755,0.006938477065634896,0.005972634736524503,0.005363931382984171,0.0059285545497866484,0.006770692410613548,0.0309952124398293,0.00385977715415253,0.00425301923884459,0.004914751175817138,0.004232821601852604,0.003955052097056552,0.004107220904470916,0.0036631384640400957,0.003706554576731936,0.004543895340213381
ET_3,0.0059285545497866484,0.007015234577736637,0.007334304161163219,0.007685118672644279,0.0072911152035533755,0.006938477065634896,0.005972634736524503,0.005363931382984171,0.006770692410613548,0.0309952124398293,0.003706554576731936,0.00385977715415253,0.00425301923884459,0.004914751175817138,0.004232821601852604,0.003955052097056552,0.004107220904470916,0.0036631384640400957,0.004543895340213381
ET_4,0.005363931382984171,0.0059285545497866484,0.007015234577736637,0.007334304161163219,0.007685118672644279,0.0072911152035533755,0.006938477065634896,0.005972634736524503,0.006770692410613548,0.0309952124398293,0.0036631384640400957,0.003706554576731936,0.00385977715415253,0.00425301923884459,0.004914751175817138,0.004232821601852604,0.003955052097056552,0.004107220904470916,0.004543895340213381
ET_5,0.005972634736524503,0.005363931382984171,0.0059285545497866484,0.007015234577736637,0.007334304161163219,0.007685118672644279,0.0072911152035533755,0.006938477065634896,0.006770692410613548,0.0309952124398293,0.004107220904470916,0.0036631384640400957,0.003706554576731936,0.00385977715415253,0.00425301923884459,0.004914751175817138,0.004232821601852604,0.003955052097056552,0.004543895340213381
ET_6,0.006938477065634896,0.005972634736524503,0.005363931382984171,0.0059285545497866484,0.007015234577736637,0.007334304161163219,0.007685118672644279,0.0072911152035533755,0.006770692410613548,0.0309952124398293,0.003955052097056552,0.004107220904470916,0.0036631384640400957,0.003706554576731936,0.00385977715415253,0.00425301923884459,0.004914751175817138,0.004232821601852604,0.004543895340213381
ET_7,0.0072911152035533755,0.006938477065634896,0.005972634736524503,0.005363931382984171,0.0059285545497866484,0.007015234577736637,0.007334304161163219,0.007685118672644279,0.006770692410613548,0.0309952124398293,0.004232821601852604,0.003955052097056552,0.004107220904470916,0.0036631384640400957,0.003706554576731936,0.00385977715415253,0.00425301923884459,0.004914751175817138,0.004543895340213381
EU,0.00624020294211494,0.00624020294211494,0.00624020294211494,0.00624020294211494,0.00624020294211494,0.00624020294211494,0.00624020294211494,0.00624020294211494,0.00651875952020479,0.0309952124398293,0.003559646700237162,0.003559646700237162,0.003559646700237162,0.003559646700237162,0.003559646700237162,0.003559646700237162,0.003559646700237162,0.003559646700237162,0.003932932123184848
I,0.0196220055374984,0.0196220055374984,0.0196220055374984,0.0196220055374984,0.0196220055374984,0.0196220055374984,0.0196220055374984,0.0196220055374984,0.0196220055374984,0.0282186948853615,0.0052432078811667,0.0052432078811667,0.0052432078811667,0.0052432078811667,0.0052432078811667,0.0052432078811667,0.0052432078811667,0.0052432078811667,0.0052432078811667
