Population,ET_0,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,EU,I,XT_0,XT_1,XT_2,XT_3,XT_4,XT_5,XT_6,XT_7,XU
ET_0,0.05617835928164449,0.05959151914178507,0.0623483965014577,0.062346600813480535,0.056199676244435545,0.05369303222877896,0.05256550072120337,0.058798321778735056,0.003116185454493912,0.01383779459509962,0.024976549019607823,0.028680618092509227,0.02864947368421051,0.02505731379000893,0.027248992664531492,0.02845650358991484,0.025221312347123274,0.024490628957365927,0.001408695973078511
ET_1,0.058798321778735056,0.05617835928164449,0.05959151914178507,0.0623483965014577,0.062346600813480535,0.056199676244435545,0.05369303222877896,0.05256550072120337,0.003116185454493912,0.01383779459509962,0.024490628957365927,0.024976549019607823,0.028680618092509227,0.02864947368421051,0.02505731379000893,0.027248992664531492,0.02845650358991484,0.025221312347123274,0.001408695973078511
ET_2,0.05256550072120337,0.058798321778735056,0.05617835928164449,0.05959151914178507,0.0623483965014577,0.062346600813480535,0.056199676244435545,0.05369303222877896,0.003116185454493912,0.01383779459509962,0.025221312347123274,0.024490628957365927,0.024976549019607823,0.028680618092509227,0.02864947368421051,0.02505731379000893,0.027248992664531492,0.02845650358991484,0.001408695973078511
ET_3,0.05369303222877896,0.05256550072120337,0.058798321778735056,0.05617835928164449,0.05959151914178507,0.0623483965014577,0.062346600813480535,0.056199676244435545,0.003116185454493912,0.01383779459509962,0.02845650358991484,0.025221312347123274,0.024490628957365927,0.024976549019607823,0.028680618092509227,0.02864947368421051,0.02505731379000893,0.027248992664531492,0.001408695973078511
ET_4,0.056199676244435545,0.05369303222877896,0.05256550072120337,0.058798321778735056,0.05617835928164449,0.05959151914178507,0.0623483965014577,0.062346600813480535,0.003116185454493912,0.01383779459509962,0.027248992664531492,0.02845650358991484,0.025221312347123274,0.024490628957365927,0.024976549019607823,0.028680618092509227,0.02864947368421051,0.02505731379000893,0.001408695973078511
ET_5,0.062346600813480535,0.056199676244435545,0.05369303222877896,0.05256550072120337,0.058798321778735056,0.05617835928164449,0.05959151914178507,0.0623483965014577,0.003116185454493912,0.01383779459509962,0.02505731379000893,0.027248992664531492,0.02845650358991484,0.025221312347123274,0.024490628957365927,0.024976549019607823,0.028680618092509227,0.02864947368421051,0.001408695973078511
ET_6,0.0623483965014577,0.062346600813480535,0.056199676244435545,0.05369303222877896,0.05256550072120337,0.058798321778735056,0.05617835928164449,0.05959151914178507,0.003116185454493912,0.01383779459509962,0.02864947368421051,0.02505731379000893,0.027248992664531492,0.02845650358991484,0.025221312347123274,0.024490628957365927,0.024976549019607823,0.028680618092509227,0.001408695973078511
ET_7,0.05959151914178507,0.0623483965014577,0.062346600813480535,0.056199676244435545,0.05369303222877896,0.05256550072120337,0.058798321778735056,0.05617835928164449,0.003116185454493912,0.01383779459509962,0.028680618092509227,0.02864947368421051,0.02505731379000893,0.027248992664531492,0.02845650358991484,0.025221312347123274,0.024490628957365927,0.024976549019607823,0.001408695973078511
EU,0.003022872342938678,0.003022872342938678,0.003022872342938678,0.003022872342938678,0.003022872342938678,0.003022872342938678,0.003022872342938678,0.003022872342938678,0.0030893976161935114,0.014943220577023394,0.001381319674002601,0.001381319674002601,0.001381319674002601,0.001381319674002601,0.001381319674002601,0.001381319674002601,0.001381319674002601,0.001381319674002601,0.0013456486335484946
I,0.004348854319949548,0.004348854319949548,0.004348854319949548,0.004348854319949548,0.004348854319949548,0.004348854319949548,0.004348854319949548,0.004348854319949548,0.004298583523935637,0.01337345058002335,0.0019415272120528045,0.0019415272120528045,0.0019415272120528045,0.0019415272120528045,0.0019415272120528045,0.0019415272120528045,0.0019415272120528045,0.0019415272120528045,0.0016895531744010657
