Population,ET_0,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,EU,I,XT_0,XT_1,XT_2,XT_3,XT_4,XT_5,XT_6,XT_7,XU
ET_0,0.012446441014692583,0.010632028326521617,0.01019412771730353,0.0098053507932383,0.009270698047662791,0.0098053507932383,0.01019412771730353,0.010632028326521617,0.011323216925351072,0.07352348316871599,0.010424281411737185,0.010398480680627827,0.009595933926302414,0.009076709559801346,0.008739022568654551,0.009076709559801346,0.009595933926302414,0.010398480680627827,0.010738762346301148
ET_1,0.010632028326521617,0.012446441014692583,0.010632028326521617,0.01019412771730353,0.0098053507932383,0.009270698047662791,0.0098053507932383,0.01019412771730353,0.011323216925351072,0.07352348316871599,0.010398480680627827,0.010424281411737185,0.010398480680627827,0.009595933926302414,0.009076709559801346,0.008739022568654551,0.009076709559801346,0.009595933926302414,0.010738762346301148
ET_2,0.01019412771730353,0.010632028326521617,0.012446441014692583,0.010632028326521617,0.01019412771730353,0.0098053507932383,0.009270698047662791,0.0098053507932383,0.011323216925351072,0.07352348316871599,0.009595933926302414,0.010398480680627827,0.010424281411737185,0.010398480680627827,0.009595933926302414,0.009076709559801346,0.008739022568654551,0.009076709559801346,0.010738762346301148
ET_3,0.0098053507932383,0.01019412771730353,0.010632028326521617,0.012446441014692583,0.010632028326521617,0.01019412771730353,0.0098053507932383,0.009270698047662791,0.011323216925351072,0.07352348316871599,0.009076709559801346,0.009595933926302414,0.010398480680627827,0.010424281411737185,0.010398480680627827,0.009595933926302414,0.009076709559801346,0.008739022568654551,0.010738762346301148
ET_4,0.009270698047662791,0.0098053507932383,0.01019412771730353,0.010632028326521617,0.012446441014692583,0.010632028326521617,0.01019412771730353,0.0098053507932383,0.011323216925351072,0.07352348316871599,0.008739022568654551,0.009076709559801346,0.009595933926302414,0.010398480680627827,0.010424281411737185,0.010398480680627827,0.009595933926302414,0.009076709559801346,0.010738762346301148
ET_5,0.0098053507932383,0.009270698047662791,0.0098053507932383,0.01019412771730353,0.010632028326521617,0.012446441014692583,0.010632028326521617,0.01019412771730353,0.011323216925351072,0.07352348316871599,0.009076709559801346,0.008739022568654551,0.009076709559801346,0.009595933926302414,0.010398480680627827,0.010424281411737185,0.010398480680627827,0.009595933926302414,0.010738762346301148
ET_6,0.01019412771730353,0.0098053507932383,0.009270698047662791,0.0098053507932383,0.01019412771730353,0.010632028326521617,0.012446441014692583,0.010632028326521617,0.011323216925351072,0.07352348316871599,0.009595933926302414,0.009076709559801346,0.008739022568654551,0.009076709559801346,0.009595933926302414,0.010398480680627827,0.010424281411737185,0.010398480680627827,0.010738762346301148
ET_7,0.010632028326521617,0.01019412771730353,0.0098053507932383,0.009270698047662791,0.0098053507932383,0.01019412771730353,0.010632028326521617,0.012446441014692583,0.011323216925351072,0.07352348316871599,0.010398480680627827,0.009595933926302414,0.009076709559801346,0.008739022568654551,0.009076709559801346,0.009595933926302414,0.010398480680627827,0.010424281411737185,0.010738762346301148
EU,0.00974377995891349,0.00974377995891349,0.00974377995891349,0.00974377995891349,0.00974377995891349,0.00974377995891349,0.00974377995891349,0.00974377995891349,0.011436696340257171,0.06965800437610527,0.009218435268724196,0.009218435268724196,0.009218435268724196,0.009218435268724196,0.009218435268724196,0.009218435268724196,0.009218435268724196,0.009218435268724196,0.010322812696699936
I,0.027448224852071004,0.027448224852071004,0.027448224852071004,0.027448224852071004,0.027448224852071004,0.027448224852071004,0.027448224852071004,0.027448224852071004,0.026810897435897436,0.04864801864801865,0.010361258175023357,0.010361258175023357,0.010361258175023357,0.010361258175023357,0.010361258175023357,0.010361258175023357,0.010361258175023357,0.010361258175023357,0.011370629370629371
