Population,ET_0,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,EU,I,XT_0,XT_1,XT_2,XT_3,XT_4,XT_5,XT_6,XT_7,XU
ET_0,0.0097611096840482,0.0106895924308588,0.0063884845544234,0.0053423766607823,0.0071923966092987,0.0065502183406113,0.0087336244541484,0.0031191515907673,0.0102880658436214,0.072519452902228,0.0087336244541484,0.0104989315246678,0.0047781785962913,0.0064108519929387,0.0063517268757443,0.0036949949613705,0.0140361821584529,0.0099708879184861,0.0115651772252289
ET_1,0.0099571078431372,0.0111762152777777,0.009620949074074,0.0077293882978723,0.0097273284313725,0.01015625,0.0152994791666666,0.0078125,0.0102880658436214,0.072519452902228,0.0093470982142857,0.0124113475177304,0.0067557367149758,0.0102227393617021,0.008108428030303,0.0055088141025641,0.0137648809523809,0.0106770833333333,0.0115651772252289
ET_2,0.0095326668216693,0.0117341897233201,0.0114917288830332,0.0107854680010091,0.0141827481980934,0.0135375494071146,0.0106225296442687,0.0083286278938452,0.0102880658436214,0.072519452902228,0.0082580463015245,0.0118577075098814,0.0083777281319814,0.0113110756033975,0.0093424362199065,0.0076771055031924,0.0117165443252399,0.0114953886693017,0.0115651772252289
ET_3,0.0094014145247541,0.0109054252199413,0.0121918105789073,0.0098271666562675,0.0122477143350008,0.0134897360703812,0.0168621700879765,0.0092165898617511,0.0102880658436214,0.072519452902228,0.0084834520318391,0.0119797841143071,0.0079051383399209,0.0124477444312722,0.008930951746201,0.0092488157004286,0.0123586091328026,0.0130987292277614,0.0115651772252289
ET_4,0.0086667895998524,0.01162486938349,0.0120167189132706,0.0094043887147335,0.0129079845104185,0.0109717868338558,0.0133228840125391,0.0085087326466636,0.0102880658436214,0.072519452902228,0.0073891625615763,0.0109384379377042,0.0074962518740629,0.0126058827452811,0.0092618979766315,0.0081986978538702,0.0138826690550828,0.0120167189132706,0.0115651772252289
ET_5,0.0088235294117647,0.0151041666666666,0.0094907407407407,0.0109042553191489,0.0180147058823529,0.013125,0.0171875,0.0125,0.0102880658436214,0.072519452902228,0.0078125,0.0132978723404255,0.0097826086956521,0.0147606382978723,0.0088068181818181,0.0067307692307692,0.0116071428571428,0.0152083333333333,0.0115651772252289
ET_6,0.0087897227856659,0.0083812260536398,0.0114942528735632,0.0092932257275617,0.0108181203515889,0.0057471264367816,0.0172413793103448,0.0114942528735632,0.0102880658436214,0.072519452902228,0.0090311986863711,0.0105160185864514,0.0073296684990837,0.0107605771582293,0.0041797283176593,0.0079575596816976,0.0164203612479474,0.0126436781609195,0.0115651772252289
ET_7,0.0071942446043165,0.0115407673860911,0.0099253930189181,0.0078065207408541,0.0107913669064748,0.0100719424460431,0.0098920863309352,0.0071942446043165,0.0102880658436214,0.072519452902228,0.007065775950668,0.0123220572478187,0.0054738817641538,0.01010255625287,0.0089928057553956,0.0058107360265633,0.0071942446043165,0.0115107913669064,0.0115651772252289
EU,0.0107053151839248,0.0107053151839248,0.0107053151839248,0.0107053151839248,0.0107053151839248,0.0107053151839248,0.0107053151839248,0.0107053151839248,0.0101010101010101,0.0739418983220636,0.0093878641234327,0.0093878641234327,0.0093878641234327,0.0093878641234327,0.0093878641234327,0.0093878641234327,0.0093878641234327,0.0093878641234327,0.0110079934968161
I,0.0270399698340874,0.0270399698340874,0.0270399698340874,0.0270399698340874,0.0270399698340874,0.0270399698340874,0.0270399698340874,0.0270399698340874,0.0286609686609686,0.0478787878787878,0.0104591985960807,0.0104591985960807,0.0104591985960807,0.0104591985960807,0.0104591985960807,0.0104591985960807,0.0104591985960807,0.0104591985960807,0.0122320302648171
