Population,ET_0,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,EU,I,XT_0,XT_1,XT_2,XT_3,XT_4,XT_5,XT_6,XT_7,XU
ET_0,0.01108659058240828,0.010514652731416482,0.009953869047619045,0.008565885467105698,0.007707405908539046,0.008543009532455747,0.01006065835565629,0.010535370532408966,0.00973844545388997,0.041163231461738926,0.0067376862745098095,0.005802803929594764,0.005449736842105262,0.005612623392162727,0.005020198367599967,0.005081427060722427,0.005341912155694991,0.0058754326720134665,0.006244032363435349
ET_1,0.010535370532408966,0.01108659058240828,0.010514652731416482,0.009953869047619045,0.008565885467105698,0.007707405908539046,0.008543009532455747,0.01006065835565629,0.00973844545388997,0.041163231461738926,0.0058754326720134665,0.0067376862745098095,0.005802803929594764,0.005449736842105262,0.005612623392162727,0.005020198367599967,0.005081427060722427,0.005341912155694991,0.006244032363435349
ET_2,0.01006065835565629,0.010535370532408966,0.01108659058240828,0.010514652731416482,0.009953869047619045,0.008565885467105698,0.007707405908539046,0.008543009532455747,0.00973844545388997,0.041163231461738926,0.005341912155694991,0.0058754326720134665,0.0067376862745098095,0.005802803929594764,0.005449736842105262,0.005612623392162727,0.005020198367599967,0.005081427060722427,0.006244032363435349
ET_3,0.008543009532455747,0.01006065835565629,0.010535370532408966,0.01108659058240828,0.010514652731416482,0.009953869047619045,0.008565885467105698,0.007707405908539046,0.00973844545388997,0.041163231461738926,0.005081427060722427,0.005341912155694991,0.0058754326720134665,0.0067376862745098095,0.005802803929594764,0.005449736842105262,0.005612623392162727,0.005020198367599967,0.006244032363435349
ET_4,0.007707405908539046,0.008543009532455747,0.01006065835565629,0.010535370532408966,0.01108659058240828,0.010514652731416482,0.009953869047619045,0.008565885467105698,0.00973844545388997,0.041163231461738926,0.005020198367599967,0.005081427060722427,0.005341912155694991,0.0058754326720134665,0.0067376862745098095,0.005802803929594764,0.005449736842105262,0.005612623392162727,0.006244032363435349
ET_5,0.008565885467105698,0.007707405908539046,0.008543009532455747,0.01006065835565629,0.010535370532408966,0.01108659058240828,0.010514652731416482,0.009953869047619045,0.00973844545388997,0.041163231461738926,0.005612623392162727,0.005020198367599967,0.005081427060722427,0.005341912155694991,0.0058754326720134665,0.0067376862745098095,0.005802803929594764,0.005449736842105262,0.006244032363435349
ET_6,0.009953869047619045,0.008565885467105698,0.007707405908539046,0.008543009532455747,0.01006065835565629,0.010535370532408966,0.01108659058240828,0.010514652731416482,0.00973844545388997,0.041163231461738926,0.005449736842105262,0.005612623392162727,0.005020198367599967,0.005081427060722427,0.005341912155694991,0.0058754326720134665,0.0067376862745098095,0.005802803929594764,0.006244032363435349
ET_7,0.010514652731416482,0.009953869047619045,0.008565885467105698,0.007707405908539046,0.008543009532455747,0.01006065835565629,0.010535370532408966,0.01108659058240828,0.00973844545388997,0.041163231461738926,0.005802803929594764,0.005449736842105262,0.005612623392162727,0.005020198367599967,0.005081427060722427,0.005341912155694991,0.0058754326720134665,0.0067376862745098095,0.006244032363435349
EU,0.008975430028061606,0.008975430028061606,0.008975430028061606,0.008975430028061606,0.008975430028061606,0.008975430028061606,0.008975430028061606,0.008975430028061606,0.009376084477715532,0.04466151132817799,0.004891518737672584,0.004891518737672584,0.004891518737672584,0.004891518737672584,0.004891518737672584,0.004891518737672584,0.004891518737672584,0.004891518737672584,0.005404472071138738
I,0.01997511384094038,0.01997511384094038,0.01997511384094038,0.01997511384094038,0.01997511384094038,0.01997511384094038,0.01997511384094038,0.01997511384094038,0.018830373545621556,0.02821869488536155,0.005444203683640303,0.005444203683640303,0.005444203683640303,0.005444203683640303,0.005444203683640303,0.005444203683640303,0.005444203683640303,0.005444203683640303,0.005068288518992744
