neuron_id,angle_shown,rate,rate_error
864691135738006641,0,2.6667272,0.29929685
864691135738006641,1,2.95476766,0.24017469
864691135738006641,2,6.71925447,0.9126213
864691135738006641,3,4.54836661,0.53951229
864691135738006641,4,3.59099142,0.2919865
864691135738006641,5,1.26218228,0.11865786
864691135738006641,6,1.20842726,0.11652317
864691135738006641,7,2.34073253,0.23327084
864691135463256477,0,1.51546135,0.10906635
864691135463256477,1,1.5483279,0.1285839
864691135463256477,2,1.18843519,0.09326734
864691135463256477,3,1.36253331,0.08617008
864691135463256477,4,2.19348519,0.1548457
864691135463256477,5,1.81665714,0.13545597
864691135463256477,6,2.16033426,0.16538409
864691135463256477,7,2.1658152,0.13058483
864691135748985641,0,3.76988858,0.23660523
864691135748985641,1,2.78433371,0.18379675
864691135748985641,2,1.53146519,0.11517913
864691135748985641,3,1.27071148,0.09995514
864691135748985641,4,1.3378811,0.09256581
864691135748985641,5,2.12262635,0.14158781
864691135748985641,6,1.47919864,0.12632409
864691135748985641,7,2.43792574,0.15657944
864691135387453569,0,9.54853212,0.83004256
864691135387453569,1,8.25430378,0.74126663
864691135387453569,2,11.4976522,1.28322089
864691135387453569,3,11.3654736,1.18380232
864691135387453569,4,9.92348542,0.8781284
864691135387453569,5,9.08654103,0.85384325
864691135387453569,6,11.63966956,1.08134055
864691135387453569,7,11.69667058,1.41272995
864691135699950114,0,2.33434629,0.21975346
864691135699950114,1,3.07508286,0.30742796
864691135699950114,2,4.18515102,0.32597041
864691135699950114,3,2.20842677,0.22517011
864691135699950114,4,2.6261607,0.24340728
864691135699950114,5,1.99728913,0.1999023
864691135699950114,6,1.83477357,0.232998
864691135699950114,7,2.01685453,0.18587947
864691135591234315,0,6.16492506,0.39679325
864691135591234315,1,8.13744637,0.50036299
864691135591234315,2,8.40629307,0.3909554
864691135591234315,3,7.43280181,0.38588028
864691135591234315,4,7.50823612,0.38312816
864691135591234315,5,5.37252118,0.31296133
864691135591234315,6,3.84784096,0.27677396
864691135591234315,7,3.79554787,0.26980659
864691135786545860,0,3.43272639,0.34981442
864691135786545860,1,3.06598568,0.28380768
864691135786545860,2,2.41518403,0.3191677
864691135786545860,3,1.09786084,0.11775683
864691135786545860,4,0.92676378,0.09645869
864691135786545860,5,1.91614271,0.2574402
864691135786545860,6,1.91611741,0.22489157
864691135786545860,7,3.56023156,0.44524487
864691135156852068,0,2.9267043,0.19086661
864691135156852068,1,4.23074995,0.27936863
864691135156852068,2,5.97833307,0.41339616
864691135156852068,3,5.38118412,0.36305281
864691135156852068,4,4.48954111,0.48304592
864691135156852068,5,7.08349565,0.47516717
864691135156852068,6,6.73026625,0.39011157
864691135156852068,7,7.95363562,0.50125895
864691135763941174,0,6.16730529,0.51012846
