pre_id,post_id,syn_volume
864691134885056250,864691135615225291,4996
864691134885056250,864691136009260204,11308
864691134885056250,864691136287508419,13920
864691134885264378,864691135446530194,9616
864691134885292282,864691136595024802,4544
864691134885534458,864691135867584022,7208
864691134885582074,864691135135658777,3740
864691134885582074,864691135270673317,3872
864691134885582074,864691135275298789,18612
864691134885582074,864691135348822743,13936
864691134885582074,864691135416581306,21820
864691134885582074,864691135464405317,4800
864691134885582074,864691135561635553,12856
864691134885582074,864691135658689922,35688
864691134885582074,864691135661390320,7956
864691134885582074,864691135683891186,3460
864691134885582074,864691135685084343,9936
864691134885582074,864691135685122231,3860
864691134885582074,864691135700566050,2044
864691134885582074,864691135701382267,4124
864691134885582074,864691135738655857,5876
864691134885582074,864691135741401451,4380
864691134885582074,864691135884890992,1528
864691134885582074,864691135974836591,5392
864691134885582074,864691135991524801,3276
864691134885582074,864691135995494058,1496
864691134885582074,864691136109737144,10692
864691134885582074,864691136310802266,8308
864691134885582074,864691137196919105,3556
864691134885584634,864691135698220565,1264
864691134885611770,864691135910487209,656
864691134885617402,864691135584768888,10284
864691134885617402,864691135816613455,9880
864691134885627642,864691135100838432,1424
864691134885627642,864691135118443229,2792
864691134885627642,864691135257079727,1000
864691134885627642,864691135303928743,4916
864691134885627642,864691135338644710,2536
864691134885627642,864691135346027167,3108
864691134885627642,864691135479147206,4196
864691134885627642,864691135591350283,4208
864691134885627642,864691135596801603,10592
864691134885627642,864691135645549807,10632
864691134885627642,864691135658297986,6044
864691134885627642,864691135700902779,4580
864691134885627642,864691135749097769,20012
864691134885627642,864691135754891469,3532
864691134885627642,864691135786334148,6792
864691134885627642,864691135847943262,5504
864691134885627642,864691135927250388,20784
864691134885627642,864691135989307392,7972
864691134885627642,864691135995398826,19396
864691134885627642,864691136195070184,14476
864691134885627642,864691136311737661,10988
864691134885627642,864691136812660334,312
864691134885627642,864691136966719950,18648
864691134885631226,864691135013429750,268
864691134885631226,864691135394728949,12788
864691134885712378,864691135338644710,22824
864691134885712378,864691135404011502,6108
864691134885726202,864691135359434328,7996
864691134885726202,864691135867584022,6068
864691134885726202,864691136137542013,1732
864691134885737978,864691135685122231,2004
864691134885737978,864691135838393491,2204
864691134885786874,864691135303928743,33232
864691134885786874,864691135700566562,2580
864691134885786874,864691135719651633,1332
864691134885786874,864691136106445529,6208
864691134885788922,864691134885788922,83824
864691134885795322,864691135334548713,9328
864691134885795322,864691135348822743,12528
864691134885795322,864691135387371905,6212
864691134885795322,864691135489390906,13484
864691134885795322,864691135591350283,2176
864691134885795322,864691135857028654,15036
864691134885795322,864691135945999652,2332
864691134885801722,864691135639702587,8408
864691134885803258,864691135307514182,4564
864691134885803258,864691135454575722,19772
864691134885803258,864691135864553854,2120
864691134885803258,864691135919400880,6308
864691134885803258,864691136100932725,4576
864691134885803258,864691136105988313,3968
864691134885803258,864691136210037948,2256
864691134885803258,864691136437455262,2572
864691134885803258,864691136812856691,3968
864691134885876730,864691135355993295,5000
864691134885876730,864691135416682682,16720
864691134885876730,864691135495499152,1948
864691134885876730,864691135755354578,25452
864691134885876730,864691135755698898,1760
864691134885890298,864691135446530194,248
864691134885899514,864691135489191994,21680
864691134885899514,864691135683891186,2948
864691134885899514,864691135865472988,19368
