pre_pt_root_id,post_pt_root_id,syn_volume
864691134886335738,864691135356428751,7004
864691134886335738,864691136923764708,3244
864691134886499066,864691135501769538,3444
864691134886499066,864691136451925247,1100
864691134918921738,864691135561071585,14520
864691134918921738,864691135988557315,4164
864691134919144714,864691135257086127,6420
864691134919144714,864691135988557315,3956
864691134919283210,864691135257086127,6884
864691134919283210,864691135446987922,3664
864691134919283210,864691135498488851,628
864691134919349258,864691135867411478,31116
864691134919349258,864691135942611316,35616
864691134919349258,864691136110743992,1288
864691134919349258,864691136135862411,18104
864691134919349258,864691136196160844,1368
864691134919349258,864691136274974477,11616
864691134919403530,864691136011790755,1352
864691134919403530,864691137055089014,6428
864691134941217635,864691134989687674,30972
864691134941217635,864691135356428751,4936
864691134941217635,864691136110743992,8580
864691134941217635,864691136196160844,6172
864691134941217635,864691136239352636,3624
864691134941412707,864691135430270512,336
864691134941495395,864691135441799752,11368
864691134941495395,864691135783823667,12300
864691134941495395,864691135919801008,6160
864691134941495395,864691135941226150,2940
864691134941495395,864691136195455190,6704
864691134941559651,864691135334878697,16820
864691134941559651,864691135430270512,396
864691134941559651,864691135464019269,2272
864691134941559651,864691135510610384,21036
864691134941559651,864691135511496656,14904
864691134941559651,864691135594774315,17720
864691134941559651,864691135865700572,16632
864691134941559651,864691135941226150,7680
864691134941559651,864691136011790755,936
864691134941559651,864691136110743992,20640
864691134941559651,864691136124628262,2376
864691134941559651,864691136195824204,576
864691134941559651,864691136208987580,13984
864691134941559651,864691137019776622,3568
864691134941559651,864691137055089014,6904
864691134941824611,864691135988557315,1568
864691134948788476,864691135270057125,1528
864691134948899324,864691135800694114,1604
864691134948899324,864691135941226150,4340
864691134948899324,864691136522721169,512
864691134948973308,864691135119056861,2716
864691134948973308,864691135279030689,1468
864691134948973308,864691135356428751,1452
864691134948973308,864691135441386568,2772
864691134948973308,864691135464019269,5604
864691134948973308,864691135941226150,4992
864691134948973308,864691136109463736,5260
864691134949072124,864691135988557315,1832
864691134949081852,864691135375528009,5716
864691134949081852,864691135476788648,18776
864691134949081852,864691135594774315,1700
864691134949081852,864691135859461480,8780
864691134949081852,864691135919801008,2668
864691134949081852,864691135938727989,1516
864691134949081852,864691136109767096,16064
864691134949221372,864691134948665340,3264
864691134949221372,864691135867411478,12232
864691134949221372,864691136033456571,8796
864691134965778719,864691135163754797,1860
864691134965778719,864691135446432146,4532
864691134965778719,864691135693558719,12324
864691134965778719,864691135867399045,1712
864691134965778719,864691135940073217,2640
864691134965778719,864691136577696532,1452
864691134965778719,864691136663515102,5036
864691134965898271,864691136391392127,596
864691134965949727,864691135782029136,15136
864691134965949727,864691136228870481,32188
864691134966005023,864691135279030689,2752
864691134966005023,864691135919801008,1316
864691134966005023,864691136124758054,6572
864691134966005023,864691136196160844,9832
864691134966005023,864691136228870481,6836
864691134966014495,864691135416375226,1816
864691134966014495,864691135919801008,4664
864691134966014495,864691135941226150,4008
864691134966014495,864691136110743992,4776
864691134966014495,864691137019776622,380
864691134966025503,864691135119056861,1816
864691134966025503,864691135257086127,2500
864691134966069023,864691135135661593,25140
864691134966069023,864691135763300406,3816
864691134966069023,864691136033456571,176
