pt_root_id,cell_type,tuning_type,layer,pial_distances,axon_proof,dendr_proof,pref_ori,osi
864691135341724101,exc,direction,L23,"[936.6887950744881, 145.2047764967513, 958.8800000000002]",non,non,10.0,0.3436653
864691135355413199,exc,direction,L23,"[530.3212422767476, 268.0790844426179, 885.9600000000003]",non,non,10.0,0.25728726
864691136041681494,exc,direction,L23,"[639.7611430097093, 166.38241374214954, 672.9200000000002]",non,non,1.0,0.4140587
864691135355577807,exc,direction,L23,"[692.9495227374201, 272.9275227896363, 768.8400000000001]",non,non,7.0,0.39582425
864691135355672271,exc,direction,L23,"[776.1849404397495, 259.2659811519306, 768.5200000000001]",non,non,0.0,0.57308245
864691135355263183,exc,direction,L4,"[829.1956055382819, 366.3737424104466, 822.4000000000002]",non,non,8.0,0.19323005
864691135349478615,exc,direction,L23,"[681.7632984835132, 258.32902742397255, 864.7200000000003]",clean,clean,10.0,0.3134642
864691135349422551,exc,direction,L23,"[721.6920388187414, 161.02276674542256, 746.1600000000001]",non,non,8.0,0.29871425
864691135349346775,exc,direction,L23,"[984.9843429489144, 151.9998682186481, 824.9200000000003]",non,non,11.0,0.5111239
864691135374673737,exc,direction,L23,"[867.7667317052794, 162.68835315974553, 929.5200000000002]",non,non,15.0,0.47549853
864691135374752329,exc,direction,L23,"[985.0022041147533, 181.16842006783588, 825.1200000000002]",non,non,7.0,0.7408888
864691135374856265,exc,direction,L23,"[641.7090679391399, 252.06222413216676, 970.8000000000003]",non,non,5.0,0.67992896
864691135374721097,exc,direction,L23,"[853.8052810762446, 269.3975934359888, 1005.0000000000002]",non,non,10.0,0.6979575
864691135383435482,exc,direction,L23,"[556.5985279947314, 204.9129345259462, 757.5600000000002]",non,non,8.0,0.5118612
864691135383511002,exc,direction,L23,"[479.9655167863923, 256.9278600102971, 928.7600000000002]",non,non,11.0,0.46246988
864691135383015898,exc,direction,L4,"[864.8083575515018, 368.33305403571336, 853.7200000000003]",non,non,8.0,0.11842487
864691135383305451,exc,direction,L23,"[572.8710783093647, 162.84309228405363, 752.3200000000002]",non,non,11.0,0.7761632
864691136032689595,exc,direction,L23,"[907.0394399282962, 194.77730335805828, 750.0800000000002]",non,non,6.0,0.2795727
864691136032682683,exc,direction,L4,"[440.8473736953085, 362.5925753371531, 661.5200000000001]",non,non,12.0,0.48606348
864691135368012281,exc,direction,L23,"[493.1145495722704, 192.54889232056246, 809.5200000000002]",non,non,10.0,0.2735059
864691135368066297,exc,direction,L23,"[681.6613344039304, 262.4317527774998, 973.2800000000002]",non,non,8.0,0.15642959
864691136032675003,exc,direction,L23,"[886.8156361850162, 170.39389649697154, 986.1600000000003]",non,non,8.0,0.37747118
864691136041868118,exc,direction,L4,"[761.1759878247726, 339.02938858542353, 760.2000000000002]",non,non,14.0,0.39514062
864691135349519319,exc,direction,L4,"[548.0022153337717, 314.9183202151706, 905.7200000000003]",non,non,15.0,0.35218623
864691135346123935,exc,direction,L23,"[505.56604783352566, 252.16496907046246, 662.4000000000001]",non,non,15.0,0.38225517
864691135346049695,exc,direction,L23,"[608.2337469335048, 249.90444667151564, 969.7200000000003]",non,non,12.0,0.8021877
864691136237212687,exc,direction,L23,"[701.5648816493272, 226.5900728078017, 675.0000000000001]",non,non,0.0,0.21609609
864691135716106266,exc,direction,L4,"[623.5341707597065, 363.6066376387026, 910.8400000000003]",non,non,9.0,0.4602496
864691135359434328,exc,direction,L4,"[774.3453384161502, 309.6654344068496, 865.0800000000003]",non,non,10.0,0.30971193
864691135359440472,exc,direction,L23,"[625.5978161080293, 251.1666279985555, 994.7600000000002]",non,non,12.0,0.3934748
864691135359558744,exc,direction,L4,"[727.0528422530102, 345.74491509406835, 690.6000000000001]",non,non,0.0,0.5407315
864691135359607128,exc,direction,L23,"[848.3412425345844, 259.1543926269032, 774.2800000000001]",non,non,7.0,0.65739137
864691135358827352,exc,direction,L23,"[873.2605098579419, 195.35547573901988, 707.8000000000002]",non,non,6.0,0.6547068
864691135355809743,exc,direction,L23,"[596.9285064137116, 140.47070159811707, 971.0000000000002]",non,non,12.0,0.25843927
864691135355831247,exc,direction,L23,"[807.0150905739725, 183.71350580729842, 701.2000000000002]",non,non,7.0,0.23059689
864691135355993295,exc,direction,L4,"[677.1206088946734, 362.06312994277624, 918.6800000000003]",non,non,8.0,0.5213461
864691135361251143,exc,direction,L23,"[719.3445239924278, 259.8181134685361, 890.7200000000003]",non,non,1.0,0.4579852
864691135356005071,exc,direction,L23,"[547.9896424993393, 118.26489878059749, 966.4400000000003]",non,non,8.0,0.49349356
864691135361024071,exc,direction,L4,"[886.7570248179118, 344.3627923511087, 1032.4400000000003]",non,non,11.0,0.29988265
864691135360772167,exc,direction,L23,"[835.748878712316, 146.0745930278253, 914.0800000000003]",non,non,8.0,0.43339285
864691135359756376,exc,direction,L4,"[512.0286295602906, 329.56675735358203, 658.2000000000002]",non,non,0.0,0.49120125
864691135359807832,exc,direction,L23,"[509.85946435031553, 200.888040782846, 731.4000000000001]",non,non,15.0,0.532526
864691135360113223,exc,direction,L4,"[867.0117703719167, 353.42837732191543, 663.9600000000002]",non,non,3.0,0.5043831
864691135348822743,exc,direction,L4,"[529.8000060086862, 336.4538423050985, 743.1200000000001]",non,non,9.0,0.6660778
864691135349133015,exc,direction,L23,"[492.7326176745407, 175.61918210374256, 795.6800000000003]",non,non,8.0,0.76489323
864691135349171415,exc,direction,L23,"[503.7631792343376, 238.25892201121286, 641.4000000000001]",non,non,0.0,0.39879978
864691135345986719,exc,direction,L4,"[908.5887860535771, 342.28966684866214, 1030.0000000000002]",non,non,2.0,0.6294904
864691135346027167,exc,direction,L4,"[1047.0459979983546, 327.48467051367396, 772.4400000000002]",non,non,8.0,0.41582647
