id,theta,rate
0,0,2.9938772
0,1,4.0408564
0,2,1.3144203
0,3,1.1170312
0,4,0.9652297
0,5,0.9018715
0,6,1.3954585
0,7,3.287744
0,8,4.402381
0,9,3.0261178
0,10,1.2245173
0,11,0.7755918
0,12,0.87361157
0,13,1.3915856
0,14,1.4508631
0,15,1.8977762
1,0,3.8253856
1,1,2.9127932
1,2,2.4906487
1,3,1.3706267
1,4,1.2753699
1,5,1.2828873
1,6,2.1656322
1,7,2.701564
1,8,4.5188656
1,9,4.353136
1,10,1.9412504
1,11,1.4806678
1,12,0.8079251
1,13,0.97271746
1,14,1.346657
1,15,2.3628016
2,0,11.861823
2,1,9.576941
2,2,4.640741
2,3,4.474661
2,4,4.0272055
2,5,7.22339
2,6,10.094508
2,7,10.657133
2,8,13.394548
2,9,10.798988
2,10,7.592809
2,11,5.1362047
2,12,3.2383423
2,13,5.346903
2,14,10.683765
2,15,8.762171
3,0,4.5519576
3,1,5.3998284
3,2,1.8206003
3,3,0.46369267
3,4,1.0794132
3,5,0.7027792
3,6,0.9011257
3,7,2.908561
3,8,6.8522696
3,9,4.0852513
3,10,1.3435156
3,11,0.8800017
3,12,0.45526916
3,13,0.6996291
3,14,1.6612374
3,15,3.9883752
4,0,1.9598627
4,1,1.2462349
4,2,1.20507
4,3,2.5931518
4,4,2.792377
4,5,1.9482715
4,6,3.0292735
4,7,1.7496694
4,8,2.642689
4,9,1.3746228
4,10,0.9498369
4,11,1.1819422
4,12,1.2464545
4,13,3.5662239
4,14,2.4313962
4,15,1.9655678
5,0,1.0564594
5,1,0.41342893
5,2,0.9315156
5,3,4.429866
5,4,7.210969
5,5,7.385109
5,6,1.5638561
5,7,2.1480591
5,8,0.9490703
5,9,1.04825
5,10,0.8982312
5,11,1.7987903
5,12,8.265475
5,13,10.897192
5,14,2.1551857
5,15,1.60949
6,0,16.936207
6,1,18.662624
6,2,2.9608948
6,3,0.7062543
6,4,0.42944178
6,5,1.5542232
6,6,2.7698405
6,7,17.61962
6,8,27.242151
6,9,17.334347
6,10,3.3428822
6,11,0.50169945
6,12,0.26626414
6,13,0.5677509
6,14,4.084161
6,15,8.505278
7,0,3.2315876
7,1,2.6119628
7,2,1.1216954
7,3,1.1170237
7,4,0.78567463
7,5,1.1564299
7,6,1.3796997
7,7,1.9943359
7,8,1.9623082
7,9,3.5519633
7,10,1.5851153
7,11,1.1782076
7,12,0.8527669
7,13,0.9738866
7,14,1.0717499
7,15,2.0636485
8,0,8.923364
8,1,4.3908954
8,2,1.5857776
8,3,1.3020865
8,4,0.68353695
8,5,1.5945783
8,6,1.7301649
8,7,4.7709002
8,8,10.738537
8,9,6.24019
8,10,3.705545
8,11,1.9415009
8,12,0.74082583
8,13,1.6365627
8,14,2.5752685
8,15,6.9691443
9,0,1.6978337
9,1,1.3826096
9,2,1.1714702
9,3,1.0056133
9,4,0.7074865
9,5,0.6254806
9,6,0.58556324
9,7,0.80382234
9,8,1.8345267
9,9,0.8925606
9,10,1.1065284
9,11,0.9292773
9,12,0.80971795
9,13,0.7427438
9,14,1.1067126
9,15,0.77743673
10,0,21.348076
10,1,9.297819
10,2,3.3310552
10,3,1.0170381
10,4,1.6324078
10,5,1.6363094
10,6,3.6505775
10,7,20.49535
10,8,26.271652
10,9,13.610611
10,10,5.3882256
10,11,2.2571015
10,12,1.8608997
10,13,0.87796783
10,14,6.246939
10,15,15.624947
11,0,3.1640792
11,1,2.3360674
11,2,0.845868
11,3,0.475732
11,4,0.679194
11,5,0.7052895
11,6,0.53442454
11,7,1.8390846
11,8,3.8842487
11,9,2.079876
11,10,0.6003486
11,11,0.49792758
11,12,0.4036892
11,13,0.65400946
11,14,1.4587833
11,15,2.1601532
12,0,0.48824233
12,1,0.6351239
12,2,0.91634876
12,3,1.9538515
12,4,0.9767809
12,5,1.4894962
12,6,0.56596226
12,7,0.4543427
12,8,0.77213037
12,9,1.1698303
12,10,1.0982873
12,11,1.4993409
12,12,2.0764196
12,13,1.0610936
12,14,0.35755947
12,15,0.515065
13,0,1.0227611
13,1,0.8329061
13,2,0.519786
13,3,0.712155
13,4,0.6823294
13,5,0.67286587
13,6,0.6167641
13,7,1.3061337
13,8,0.71520126
13,9,0.19848749
13,10,0.51957285
13,11,0.34587246
13,12,0.50248235
13,13,0.54369867
13,14,0.913225
13,15,0.72851276
14,0,0.69492835
14,1,0.90090626
14,2,0.70114285
14,3,0.41680497
14,4,0.51899016
14,5,0.37031668
14,6,1.0847168
14,7,1.7121725
14,8,0.68151426
14,9,0.56909823
14,10,0.5234066
14,11,0.21219453
14,12,0.32202798
14,13,0.6845829
14,14,1.276623
14,15,0.77019304
15,0,1.6512552
15,1,0.5967899
15,2,0.39111465
15,3,0.28094643
15,4,0.7869474
15,5,1.2823216
15,6,2.0540144
15,7,1.5703199
15,8,1.1840427
15,9,0.48958498
15,10,0.5050967
15,11,0.36555737
15,12,0.4749977
15,13,0.50136644
15,14,1.8800853
15,15,2.8624556
16,0,2.2732036
16,1,2.3362033
16,2,2.1475692
16,3,0.7145664
16,4,1.2753661
16,5,0.39571336
16,6,1.8571069
16,7,1.3290846
16,8,3.119062
16,9,2.7612243
16,10,1.9419434
16,11,1.8306663
16,12,1.1220711
16,13,1.0122637
16,14,1.1198595
16,15,2.1552832
17,0,1.0485723
17,1,1.3597313
17,2,0.9579711
17,3,0.4333217
17,4,0.23241124
17,5,0.55278635
17,6,0.5518563
17,7,0.9649741
17,8,1.5927653
17,9,0.988852
17,10,0.72227705
17,11,0.65094936
17,12,0.40798664
17,13,0.34278524
17,14,0.47012195
17,15,0.45331174
18,0,3.9433904
18,1,4.6360154
18,2,2.625811
18,3,1.1933514
18,4,1.6370051
18,5,1.1469835
18,6,1.8349892
18,7,3.006829
18,8,4.793888
18,9,3.4866436
18,10,2.6186733
18,11,1.0202329
18,12,0.9001958
18,13,0.86202353
18,14,2.0617077
18,15,1.0228943
19,0,11.0948105
19,1,10.059465
19,2,3.0423071
19,3,1.9478439
19,4,2.2801852
19,5,2.007669
19,6,5.671067
19,7,13.071722
19,8,16.11242
19,9,13.044785
19,10,4.8600507
19,11,2.6130717
19,12,2.378069
19,13,2.7604084
19,14,4.8381243
19,15,10.072095
20,0,1.917607
20,1,2.2866347
20,2,4.943816
20,3,5.4978867
20,4,2.782762
20,5,3.4412181
20,6,3.375911
20,7,2.3238077
20,8,3.6732745
20,9,2.3010535
20,10,4.834371
20,11,7.2925997
20,12,4.3679557
20,13,1.7299869
20,14,1.9918267
20,15,1.7400026
21,0,9.636944
21,1,11.071689
21,2,8.353644
21,3,2.6361618
21,4,1.839124
21,5,2.646249
21,6,6.620365
21,7,14.674433
21,8,18.326183
21,9,11.692038
21,10,6.4479218
21,11,3.390246
21,12,2.5848665
21,13,2.7546477
21,14,4.511881
21,15,9.362421
22,0,3.4593914
22,1,2.4740977
22,2,1.7413855
22,3,3.4941266
22,4,5.539273
22,5,10.047117
22,6,5.2358365
22,7,3.5236104
22,8,1.1152467
22,9,0.65709925
22,10,3.749211
22,11,7.7570143
22,12,8.361268
22,13,4.197446
22,14,5.529209
22,15,1.869683
23,0,1.1595128
23,1,4.9152455
23,2,8.400985
23,3,5.3422165
23,4,1.7310377
23,5,0.9927147
23,6,2.2226722
23,7,1.3297095
23,8,1.8171164
23,9,4.03575
23,10,5.1255536
23,11,3.832416
23,12,1.069566
23,13,0.46394348
23,14,1.7320849
23,15,0.834142
24,0,2.8405213
24,1,1.4289063
24,2,0.92036504
24,3,1.0743916
24,4,0.59940493
24,5,1.7062743
24,6,0.96151006
24,7,2.2334905
24,8,2.9904726
24,9,1.9350808
24,10,0.9233494
24,11,1.2083308
24,12,1.3107214
24,13,1.1680439
24,14,0.9917156
24,15,1.9327761
25,0,4.151151
25,1,5.541432
25,2,1.3792347
25,3,0.5157148
25,4,0.7315773
25,5,0.21292429
25,6,0.73305565
25,7,1.8487794
25,8,6.9002333
25,9,4.9739237
25,10,1.3112746
25,11,0.43942547
25,12,0.9605881
25,13,0.5720788
25,14,0.38940218
25,15,1.4712657
26,0,0.44573587
26,1,0.2952224
26,2,0.20340434
26,3,0.16781333
26,4,0.27344483
26,5,0.26718718
26,6,0.3787431
26,7,0.79620636
26,8,0.30160245
26,9,0.20153947
26,10,0.28901663
26,11,0.18533069
26,12,0.16462076
26,13,0.16516794
26,14,0.6188262
26,15,0.41506752
27,0,0.25329918
27,1,0.42818928
27,2,0.30543748
27,3,0.15601233
27,4,0.166021
27,5,0.48456964
27,6,0.50237846
27,7,0.48545122
27,8,0.5379866
27,9,0.5562719
27,10,0.14162165
27,11,0.25975138
27,12,0.33493912
27,13,0.09720885
27,14,0.2255067
27,15,0.6589261
28,0,3.0697203
28,1,1.8488493
28,2,1.4962969
28,3,0.9170744
28,4,1.546879
28,5,1.9514205
28,6,4.730838
28,7,3.040217
28,8,2.5504827
28,9,1.0112114
28,10,0.79587686
28,11,0.8152361
28,12,0.22345717
28,13,1.9949281
28,14,4.3907895
28,15,6.2385297
29,0,1.7384981
29,1,2.8616204
29,2,4.5173407
29,3,6.7708716
29,4,4.176331
29,5,2.1940532
29,6,1.6721872
29,7,1.4763044
29,8,1.1984622
29,9,1.7797886
29,10,3.6662083
29,11,3.5926425
29,12,4.4085493
29,13,1.5100644
29,14,1.7103946
29,15,1.4239002
30,0,1.9978554
30,1,1.5650553
30,2,1.4616535
30,3,8.882757
30,4,6.7339263
30,5,10.529756
30,6,3.6041768
30,7,6.9548798
30,8,2.034037
30,9,1.8510689
30,10,2.4828787
30,11,6.189288
30,12,18.170961
30,13,5.471261
30,14,2.3546767
30,15,1.3604357
31,0,18.311428
31,1,10.722686
31,2,5.3562155
31,3,4.5171943
31,4,3.1556628
31,5,2.5446954
31,6,2.9321103
31,7,7.762143
31,8,14.800097
31,9,19.625114
31,10,2.6645894
31,11,4.6232343
31,12,2.9554486
31,13,1.5979836
31,14,4.8306875
31,15,10.198774
32,0,8.259607
32,1,8.909203
32,2,4.778874
32,3,2.0235767
32,4,1.6083847
32,5,1.0485545
32,6,3.710786
32,7,6.11456
32,8,13.827899
32,9,9.082005
32,10,2.5202293
32,11,1.638567
32,12,0.8665717
32,13,1.1415535
32,14,1.3885877
32,15,7.3352995
33,0,2.752747
33,1,1.4294912
33,2,1.3487966
33,3,0.2987606
33,4,0.26417
33,5,0.74347574
33,6,0.8492259
33,7,2.779299
33,8,3.5102296
33,9,3.0248199
33,10,1.2388848
33,11,0.7013315
33,12,0.3365383
33,13,0.64588106
33,14,1.3825306
33,15,2.729206
34,0,1.239669
34,1,0.6537554
34,2,0.51835626
34,3,0.847188
34,4,0.7696261
34,5,0.7007055
34,6,1.1637913
34,7,2.519361
34,8,1.2190455
34,9,0.49199575
34,10,0.40328932
34,11,0.3782192
34,12,0.71149594
34,13,0.6283074
34,14,1.6425045
34,15,1.1962516
35,0,1.6243223
35,1,1.2702581
35,2,1.3993666
35,3,0.44110376
35,4,0.08288241
35,5,0.46647877
35,6,0.16060962
35,7,0.96457684
35,8,1.9727577
35,9,0.39019942
35,10,0.35121948
35,11,0.30824465
35,12,0.1554176
35,13,0.32613698
35,14,0.5108564
35,15,0.94906634
36,0,1.4253681
36,1,2.1312525
36,2,1.7418108
36,3,0.4529088
36,4,0.5708144
36,5,0.5052585
36,6,0.88590777
36,7,1.4855993
36,8,3.5992024
36,9,1.6664909
36,10,0.45986277
36,11,0.6413526
36,12,0.8359315
36,13,0.48354775
36,14,0.7878355
36,15,1.3264811
37,0,5.4645596
37,1,15.341097
37,2,4.682127
37,3,1.0924941
37,4,0.9358908
37,5,2.0590641
37,6,9.240855
37,7,10.693998
37,8,13.145267
37,9,8.369712
37,10,4.5330715
37,11,1.4865528
37,12,0.5149874
37,13,1.125963
37,14,2.3447163
37,15,4.9793015
38,0,4.061137
38,1,1.4002144
38,2,1.0688345
38,3,0.8723713
38,4,0.47927743
38,5,1.0753725
38,6,2.3614879
38,7,3.3309066
38,8,1.835096
38,9,1.5887029
38,10,1.7537644
38,11,1.2526964
38,12,0.87477744
38,13,1.0058719
38,14,2.2393265
38,15,2.6246667
39,0,0.66727495
39,1,1.0891995
39,2,1.6663147
39,3,2.6430259
39,4,6.223973
39,5,4.1873837
39,6,1.5157117
39,7,0.97306997
39,8,0.7955597
39,9,0.9707924
39,10,1.2197825
39,11,3.6522975
39,12,2.9669
39,13,3.6807733
39,14,1.6671531
39,15,1.5005808
40,0,0.50709355
40,1,0.30017334
40,2,0.22885151
40,3,0.3651365
40,4,0.63825834
40,5,1.356015
40,6,3.8441803
40,7,1.2131637
40,8,0.3056646
40,9,0.027362954
40,10,0.10584776
40,11,0.14953466
40,12,0.71195775
40,13,1.5565748
40,14,4.4752536
40,15,1.4900161
41,0,2.0169854
41,1,1.7269977
41,2,1.0420736
41,3,0.5957409
41,4,0.5721277
41,5,0.6240161
41,6,1.101341
41,7,1.6913764
41,8,2.846487
41,9,1.9391302
41,10,1.0382633
41,11,0.5434054
41,12,0.41420454
41,13,0.42703253
41,14,0.7214089
41,15,1.3578123
42,0,4.200495
42,1,2.6680417
42,2,1.6248436
42,3,0.7356977
42,4,0.8927892
42,5,0.8408513
42,6,1.6696708
42,7,1.742378
42,8,5.033915
42,9,4.998611
42,10,2.1363413
42,11,1.0418702
42,12,0.7175418
42,13,1.8907261
42,14,2.1336112
42,15,2.6028304
43,0,10.426176
43,1,9.744261
43,2,1.158989
43,3,0.40384898
43,4,0.34279916
43,5,0.868738
43,6,2.0604558
43,7,8.428609
43,8,11.175512
43,9,10.32366
43,10,2.502932
43,11,0.37884343
43,12,0.79628134
43,13,2.3770716
43,14,1.701566
43,15,3.3220387
44,0,5.8880787
44,1,3.6483994
44,2,1.1862528
44,3,2.1265206
44,4,0.96188796
44,5,0.82306683
44,6,0.44241637
44,7,3.0767806
44,8,6.5195665
44,9,3.833699
44,10,0.92884004
44,11,1.0713228
44,12,1.7950697
44,13,0.6683526
44,14,1.2873198
44,15,1.0750178
45,0,6.1136117
45,1,5.957717
45,2,2.7537348
45,3,2.6416988
45,4,3.1354356
45,5,3.317573
45,6,6.540068
45,7,17.29199
45,8,7.9111605
45,9,3.9424465
45,10,1.5142514
45,11,1.3521255
45,12,1.7528594
45,13,4.972634
45,14,5.926744
45,15,10.330059
46,0,0.4975472
46,1,0.47483373
46,2,0.7991201
46,3,0.2458047
46,4,0.41337746
46,5,0.05020631
46,6,0.14896312
46,7,0.2308766
46,8,0.41444516
46,9,0.7917637
46,10,0.66493064
46,11,0.18970051
46,12,0.18144524
46,13,0.32661322
46,14,0.29192775
46,15,0.22845154
47,0,0.1257621
47,1,0.15085584
47,2,0.50699675
47,3,0.15283678
47,4,0.22299707
47,5,0.117089294
47,6,0.1006695
47,7,0.17470507
47,8,0.16296022
47,9,0.30782628
47,10,0.30326405
47,11,0.43598357
47,12,0.19955157
47,13,0.23868883
47,14,0.13415334
47,15,0.12035631
48,0,16.024708
48,1,12.544878
48,2,2.3435767
48,3,0.69793504
48,4,1.1415932
48,5,0.7981445
48,6,3.989736
48,7,14.218027
48,8,17.111687
48,9,12.840784
48,10,1.6445541
48,11,0.87716293
48,12,2.7388968
48,13,0.594974
48,14,2.2939517
48,15,9.254276
49,0,1.102655
49,1,0.597794
49,2,0.26735225
49,3,0.29888448
49,4,0.39073145
49,5,0.3750462
49,6,0.49324512
49,7,0.75590384
49,8,1.2713449
49,9,1.1868281
49,10,0.32840556
49,11,0.33366287
49,12,0.37230197
49,13,0.34737498
49,14,0.5860067
49,15,0.6622745
50,0,0.7571088
50,1,1.0014666
50,2,0.54021245
50,3,0.38482454
50,4,0.38008022
50,5,0.33250967
50,6,0.2701148
50,7,0.18107265
50,8,0.86606455
50,9,1.8154459
50,10,0.50781286
50,11,0.23022218
50,12,0.26570022
50,13,0.2343122
50,14,0.3279336
50,15,0.94273627
51,0,5.1474667
51,1,4.537371
51,2,4.9955406
51,3,8.698847
51,4,10.694602
51,5,6.7893043
51,6,4.8459163
51,7,5.776837
51,8,2.491298
51,9,2.9700732
51,10,3.9297607
51,11,9.723095
51,12,6.9612336
51,13,8.349892
51,14,6.2258997
51,15,3.0248835
52,0,3.813361
52,1,3.8511994
52,2,0.78483707
52,3,1.1941559
52,4,1.6003176
52,5,0.019082004
52,6,1.5069151
52,7,2.414634
52,8,5.6096797
52,9,4.484356
52,10,2.0327106
52,11,2.3832052
52,12,1.1055554
52,13,0.29720047
52,14,0.8369603
52,15,2.7666285
53,0,6.3479476
53,1,17.674725
53,2,21.024176
53,3,20.231983
53,4,14.323237
53,5,2.9180417
53,6,2.0574386
53,7,1.8162495
53,8,8.6127615
53,9,24.727848
53,10,35.94195
53,11,18.194881
53,12,14.742859
53,13,2.9242005
53,14,2.881453
53,15,1.8690513
54,0,2.028957
54,1,1.3355727
54,2,0.41269675
54,3,0.22506198
54,4,0.29060364
54,5,0.26693055
54,6,0.4787332
54,7,1.5423697
54,8,1.2428377
54,9,0.90649974
54,10,0.42491168
54,11,0.28707686
54,12,0.21783909
54,13,0.37864912
54,14,0.7492647
54,15,0.7738544
55,0,0.6376606
55,1,0.3701228
55,2,1.7826376
55,3,5.371838
55,4,4.725047
55,5,5.7299547
55,6,1.9273179
55,7,0.7223807
55,8,0.35347804
55,9,2.567133
55,10,3.1066332
55,11,4.786328
55,12,10.101909
55,13,4.561677
55,14,1.1153271
55,15,0.2226243
56,0,7.6232386
56,1,33.039753
56,2,38.679897
56,3,15.417612
56,4,4.760479
56,5,0.63411963
56,6,1.7886226
56,7,5.4805
56,8,10.862909
56,9,36.723
56,10,60.005585
56,11,21.466373
56,12,7.050556
56,13,1.251296
56,14,1.7398303
56,15,3.6313145
57,0,1.6956555
57,1,0.81513965
57,2,0.47446227
57,3,0.43469673
57,4,0.07108115
57,5,0.113433376
57,6,0.3858222
57,7,0.23435447
57,8,2.2010448
57,9,0.6923351
57,10,0.3404648
57,11,0.2134166
57,12,1.4257629
57,13,0.19876638
57,14,0.29562038
57,15,0.31921777
58,0,0.6796445
58,1,1.1568567
58,2,4.569208
58,3,5.533587
58,4,5.4134912
58,5,3.0545666
58,6,2.6490064
58,7,2.4150803
58,8,1.503731
58,9,1.0701785
58,10,1.1310922
58,11,1.8374541
58,12,1.3357868
58,13,1.1488878
58,14,1.1756384
58,15,0.522816
59,0,2.3931906
59,1,2.2972913
59,2,1.4713488
59,3,1.670606
59,4,0.8900026
59,5,1.0962408
