post_id,pre_id,size,delta_ori
1824,1748,12220,-1
1824,2527,12216,-6
1824,1026,2644,1
1824,1864,5248,4
1824,2197,1768,-3
1824,381,4684,-1
1824,1763,30996,-7
1824,1203,744,-6
1824,2196,13104,-3
1824,2748,12664,-1
1824,2384,2768,-1
1824,1985,11176,6
1824,67,14588,-5
1824,2820,15652,-2
1824,670,6776,-3
1824,2449,15660,-3
1824,2515,38452,1
1824,2596,324,-3
381,67,4380,-4
381,1327,3216,-6
381,2404,20268,-7
381,1484,6100,5
381,1585,11824,3
381,2527,216,-5
381,447,26904,1
381,529,3632,6
381,812,19636,1
381,594,2972,-1
381,327,3884,1
381,2748,1860,0
381,514,8240,-7
381,595,15812,4
381,2204,3980,5
381,2247,18852,-1
381,731,5728,-7
776,262,7660,-5
776,1576,2676,2
776,354,808,5
776,1960,12820,7
776,986,30904,-8
776,2699,8648,4
776,176,7844,0
776,1104,20236,-4
776,1004,7460,-2
776,2765,824,0
776,2576,9204,3
776,1040,5748,-3
776,338,6348,0
776,1276,932,-2
776,1527,13284,-7
776,2325,8728,-3
776,1339,15664,1
776,1015,25088,6
776,2748,2740,-1
776,339,3348,0
2161,2384,2008,-1
2161,115,26904,-7
2161,2015,1284,-7
2161,1995,29516,5
2161,1380,8216,7
2161,2540,3060,-6
2161,2446,6588,-1
2161,2559,24196,1
2161,967,19104,-4
2161,1245,11852,0
2161,1996,456,0
2161,1377,4784,-1
2161,1998,18584,2
2161,1078,7968,-3
2161,52,6088,0
2161,567,1600,5
2161,1256,27712,-1
2161,85,13292,3
2161,1171,3424,0
2161,2761,2672,1
2161,1881,744,-5
2161,1518,5448,-8
2161,875,28792,-5
2161,579,9872,0
2161,2348,5864,6
2161,1784,14524,6
2161,2840,676,-4
2161,1894,20244,3
2161,2502,6304,-5
1965,1899,1136,1
1965,803,6352,-5
1965,489,34424,-3
1965,356,8408,3
1965,1837,5992,-2
1965,1001,1900,-5
1965,2404,4152,-12
1965,2247,37860,-6
1965,1068,14768,-4
1965,293,3804,-4
1965,2309,12832,3
1965,997,492,1
1965,810,16584,-4
1965,472,10676,-4
1965,1108,1760,0
1965,241,13320,-4
1965,2228,22572,3
1965,679,4628,-5
1965,535,15996,-3
1965,1142,6000,0
1965,1672,13292,-12
1965,227,12016,-5
2310,1679,2284,-2
2310,2502,19764,-5
2310,986,9452,-8
2310,2012,900,-5
2310,492,232,-2
2310,2748,25368,-1
2310,2630,23904,1
2310,2510,7320,2
2310,2384,14328,-1
