id,tuning_type,pref_ori,layer,osi,cell_type
0,orientation,8,L2/3,0.6688352,excitatory
1,orientation,8,L4,0.6966559,excitatory
2,orientation,8,L2/3,0.6106098,excitatory
3,orientation,8,L2/3,0.8753974,excitatory
4,orientation,13,L2/3,0.44356793,excitatory
5,orientation,13,L2/3,0.8244937,excitatory
6,orientation,8,L2/3,0.98064125,excitatory
7,orientation,9,L2/3,0.5696338,excitatory
8,orientation,8,L2/3,0.8709291,excitatory
9,orientation,8,L2/3,0.38756195,excitatory
10,orientation,8,L2/3,0.8677049,excitatory
11,orientation,8,L2/3,0.8117094,excitatory
12,orientation,12,L2/3,0.6024943,excitatory
13,orientation,7,L2/3,0.5812698,excitatory
14,orientation,7,L4,0.7794656,excitatory
15,orientation,15,L2/3,0.7735093,excitatory
16,orientation,8,L2/3,0.47086254,excitatory
17,orientation,8,L4,0.5921667,excitatory
18,orientation,8,L2/3,0.6838137,excitatory
19,orientation,8,L2/3,0.7427792,excitatory
20,orientation,11,L2/3,0.6147284,excitatory
21,orientation,8,L2/3,0.7527751,excitatory
22,orientation,5,L2/3,0.8772262,excitatory
23,orientation,2,L4,0.5815617,excitatory
24,orientation,8,L2/3,0.39053136,excitatory
25,orientation,8,L2/3,0.7556011,excitatory
26,orientation,7,L2/3,0.62236637,excitatory
27,orientation,15,L2/3,0.4345102,excitatory
28,orientation,15,L2/3,0.7688508,excitatory
29,orientation,3,L2/3,0.6419855,excitatory
30,orientation,12,L2/3,0.86069244,excitatory
31,orientation,9,L2/3,0.84941083,excitatory
32,orientation,8,L2/3,0.88205475,excitatory
33,orientation,8,L2/3,0.825028,excitatory
34,orientation,7,L4,0.7389414,excitatory
35,orientation,8,L4,0.8539429,excitatory
36,orientation,8,L2/3,0.62304115,excitatory
37,orientation,1,L2/3,0.76332814,excitatory
38,orientation,0,L2/3,0.7888838,excitatory
39,orientation,4,L2/3,0.7733297,excitatory
40,orientation,14,L2/3,0.95378935,excitatory
41,orientation,8,L2/3,0.7459406,excitatory
42,orientation,8,L4,0.7504835,excitatory
43,orientation,8,L2/3,0.8669737,excitatory
44,orientation,8,L2/3,0.5682145,excitatory
45,orientation,7,L2/3,0.85495424,excitatory
46,orientation,2,L2/3,0.68575937,excitatory
47,orientation,2,L2/3,0.66866845,excitatory
48,orientation,8,L2/3,0.7240487,excitatory
49,orientation,8,L2/3,0.5469806,excitatory
50,orientation,9,L2/3,0.7713757,excitatory
51,orientation,4,L2/3,0.622127,excitatory
52,orientation,8,L2/3,0.67073214,excitatory
53,orientation,10,L2/3,0.85156095,excitatory
54,orientation,0,L4,0.74943215,excitatory
55,orientation,12,L4,0.9568746,excitatory
56,orientation,10,L2/3,0.94364506,excitatory
57,orientation,8,L2/3,0.21376427,excitatory
58,direction,3,L2/3,0.50143975,excitatory
59,direction,7,L2/3,0.34496439,excitatory
60,direction,7,L2/3,0.42955068,excitatory
61,direction,2,L2/3,0.5422087,excitatory
62,direction,9,L2/3,0.7586738,excitatory
63,direction,2,L2/3,0.5335536,excitatory
64,direction,8,L2/3,0.42688555,excitatory
65,direction,8,L4,0.28753844,excitatory
66,direction,9,L4,0.5850857,excitatory
67,direction,3,L4,0.3937438,excitatory
68,direction,9,L2/3,0.40791622,excitatory
69,direction,4,L2/3,0.43176734,excitatory
70,direction,0,L2/3,0.6873539,excitatory
71,direction,0,L4,0.62089205,excitatory
72,direction,10,L2/3,0.24412721,excitatory
73,direction,4,L2/3,0.32129562,excitatory
74,direction,8,L4,0.6254345,excitatory
75,direction,3,L2/3,0.429545,excitatory
76,direction,1,L2/3,0.5717187,excitatory
77,direction,0,L2/3,0.5939234,excitatory
78,direction,3,L2/3,0.25751126,excitatory
79,direction,14,L2/3,0.7718117,excitatory
80,direction,0,L2/3,0.59558487,excitatory
81,direction,0,L2/3,0.25926873,excitatory
82,direction,7,L2/3,0.61103076,excitatory
83,direction,9,L2/3,0.4907423,excitatory
84,direction,8,L2/3,0.5035068,excitatory
85,direction,11,L2/3,0.63842434,excitatory
86,direction,7,L4,0.5906151,excitatory
87,direction,7,L4,0.5654909,excitatory
88,direction,8,L2/3,0.33579803,excitatory
89,direction,10,L2/3,0.6805064,excitatory
90,direction,2,L2/3,0.63625145,excitatory
91,direction,9,L2/3,0.4933498,excitatory
92,direction,5,L2/3,0.824757,excitatory
93,direction,8,L2/3,0.5655849,excitatory
94,direction,10,L2/3,0.31839842,excitatory
95,direction,8,L4,0.53532976,excitatory
96,direction,4,L4,0.4043649,excitatory
97,direction,15,L4,0.39759383,excitatory
98,direction,0,L2/3,0.46414965,excitatory
99,direction,7,L4,0.7076625,excitatory
100,direction,8,L2/3,0.71377873,excitatory
101,direction,7,L4,0.47787482,excitatory
102,direction,6,L2/3,0.85855746,excitatory
103,direction,3,L4,0.43222138,excitatory
104,direction,8,L4,0.6715872,excitatory
105,direction,11,L4,0.6979419,excitatory
106,direction,3,L4,0.5783899,excitatory
107,direction,6,L4,0.21922469,excitatory
108,direction,9,L2/3,0.48440695,excitatory
109,direction,6,L2/3,0.39003083,excitatory
110,direction,8,L2/3,0.53141564,excitatory
111,direction,14,L2/3,0.36120287,excitatory
112,direction,10,L2/3,0.3134642,excitatory
113,direction,8,L2/3,0.7828621,excitatory
114,direction,2,L2/3,0.72963995,excitatory
115,direction,1,L2/3,0.4579852,excitatory
116,direction,10,L2/3,0.6269586,excitatory
117,direction,10,L2/3,0.6453981,excitatory
118,direction,8,L2/3,0.45145795,excitatory
119,direction,10,L2/3,0.24206077,excitatory
120,direction,8,L2/3,0.73035526,excitatory
121,direction,7,L2/3,0.43993726,excitatory
122,direction,7,L2/3,0.39582425,excitatory
123,direction,15,L2/3,0.6690548,excitatory
124,direction,3,L2/3,0.62470526,excitatory
125,direction,9,L2/3,0.35204864,excitatory
126,direction,12,L2/3,0.3934748,excitatory
127,direction,14,L4,0.5319148,excitatory
128,direction,8,L2/3,0.43375418,excitatory
129,direction,12,L2/3,0.49961397,excitatory
130,direction,8,L2/3,0.37888986,excitatory
131,direction,0,L2/3,0.37023485,excitatory
132,direction,8,L2/3,0.6056883,excitatory
133,direction,8,L2/3,0.7045731,excitatory
134,direction,8,L2/3,0.40267846,excitatory
135,direction,8,L2/3,0.56730705,excitatory
136,direction,10,L2/3,0.41778156,excitatory
137,direction,11,L2/3,0.46246988,excitatory
138,direction,8,L2/3,0.8405521,excitatory
139,direction,14,L2/3,0.3696089,excitatory
140,direction,8,L2/3,0.35238308,excitatory
141,direction,3,L2/3,0.52879924,excitatory
142,direction,12,L2/3,0.37942985,excitatory
143,direction,9,L2/3,0.27347517,excitatory
144,direction,2,L2/3,0.47781006,excitatory
145,direction,12,L2/3,0.67739046,excitatory
146,direction,13,L2/3,0.51996326,excitatory
147,direction,8,L2/3,0.51487947,excitatory
148,direction,9,L2/3,0.56346554,excitatory
149,direction,13,L2/3,0.36993897,excitatory
150,direction,4,L2/3,0.6995397,excitatory
151,direction,12,L2/3,0.3680185,excitatory
152,direction,9,L2/3,0.5173201,excitatory
153,direction,8,L2/3,0.75542516,excitatory
154,direction,8,L2/3,0.2918198,excitatory
155,direction,2,L2/3,0.63523954,excitatory
156,direction,13,L2/3,0.5530899,excitatory
157,direction,12,L2/3,0.5534201,excitatory
158,direction,15,L2/3,0.64642215,excitatory
159,direction,8,L2/3,0.37661457,excitatory
160,direction,8,L2/3,0.40660086,excitatory
161,direction,8,L2/3,0.5355457,excitatory
162,direction,8,L2/3,0.72073954,excitatory
163,direction,7,L2/3,0.69546676,excitatory
164,direction,3,L2/3,0.7833473,excitatory
165,direction,12,L4,0.5026095,excitatory
166,direction,8,L4,0.3354165,excitatory
167,direction,8,L4,0.70020324,excitatory
168,direction,13,L4,0.22055852,excitatory
169,direction,8,L4,0.47294074,excitatory
170,direction,8,L2/3,0.4221242,excitatory
171,direction,1,L2/3,0.4798211,excitatory
172,direction,8,L4,0.24455816,excitatory
173,direction,13,L2/3,0.5839415,excitatory
174,direction,6,L2/3,0.43227273,excitatory
175,direction,12,L2/3,0.38118246,excitatory
176,direction,8,L2/3,0.49371657,excitatory
177,direction,8,L2/3,0.4699158,excitatory
178,direction,8,L2/3,0.56746465,excitatory
179,direction,8,L2/3,0.3924767,excitatory
180,direction,1,L2/3,0.3056264,excitatory
181,direction,8,L4,0.34349516,excitatory
182,direction,5,L4,0.4140759,excitatory
183,direction,3,L2/3,0.5178848,excitatory
184,direction,9,L2/3,0.16529654,excitatory
185,direction,8,L2/3,0.5665687,excitatory
186,direction,9,L4,0.48639637,excitatory
187,direction,8,L2/3,0.41082504,excitatory
188,direction,13,L2/3,0.3257163,excitatory
189,direction,9,L2/3,0.45965144,excitatory
190,direction,0,L2/3,0.442386,excitatory
191,direction,8,L2/3,0.25915256,excitatory
192,direction,2,L2/3,0.41342816,excitatory
193,direction,8,L2/3,0.8005517,excitatory
