id,target_id,classification_system,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
553,498173,aibs_neuronal,6P-IT,864691135373830344,284688,211936,15566
4509,487329,aibs_neuronal,MC,864691135975935434,294544,118624,21745
4693,106662,aibs_neuronal,23P,864691136084076652,107056,119248,19414
5061,271350,aibs_neuronal,6P-CT,864691135777995965,163920,235968,20875
8652,456040,aibs_neuronal,MC,864691136084057196,264544,132528,23988
8744,407408,aibs_neuronal,6P-CT,864691135394650101,232400,244608,18242
10124,222288,aibs_neuronal,23P,864691136023825977,153360,115904,17474
10586,157311,aibs_nonneuronal,OPC,864691135181996290,130960,143520,20641
11320,361200,aibs_neuronal,23P,864691135013696758,215600,142656,19870
12976,153055,aibs_neuronal,23P,864691135594394923,122640,123552,18019
13985,428200,aibs_neuronal,5P-IT,864691136009434028,252464,170000,19944
17761,595215,aibs_nonneuronal,oligo,864691135508679945,339456,232496,25217
20800,116788,aibs_neuronal,4P,864691136419540375,114608,162240,20982
21443,73459,aibs_neuronal,4P,864691135502177117,97328,165312,16055
27330,325806,aibs_neuronal,23P,864691135441583944,204944,119168,18127
29815,423427,aibs_neuronal,23P,864691135610466823,254256,133184,17932
30552,162972,aibs_neuronal,5P-IT,864691135684085746,130000,179280,25891
31103,227298,aibs_neuronal,4P,864691135658892162,156464,162688,16404
34230,501664,aibs_neuronal,6P-IT,864691136105521369,287552,239808,26167
34504,79568,aibs_neuronal,5P-NP,864691136577479956,85936,204048,19741
36525,399122,aibs_neuronal,BC,864691136057341656,243056,189008,20886
42971,594685,aibs_neuronal,6P-IT,864691136274006285,329200,237856,22591
44535,530471,aibs_neuronal,6P-IT,864691136594801058,311216,206800,17918
44903,267371,aibs_neuronal,5P-IT,864691135754570445,168624,208496,22981
50786,394227,aibs_neuronal,4P,864691135946593060,239040,148000,18314
54839,271219,aibs_neuronal,6P-IT,864691135776263597,172720,226096,19152
55575,312041,aibs_nonneuronal,OPC,864691135850968519,194416,264944,25353
56036,551071,aibs_neuronal,23P,864691135100915744,315104,87760,25499
62100,161604,aibs_neuronal,5P-IT,864691135440466248,130176,186848,18602
62651,376250,aibs_neuronal,6P-IT,864691135082475511,216928,251840,22386
63851,324989,aibs_neuronal,BPC,864691135937151748,210608,110272,26372
68266,390542,aibs_neuronal,23P,864691135940018854,241584,115920,17635
69738,159315,aibs_neuronal,4P,864691135013386230,121632,174704,19680
71026,167391,aibs_neuronal,5P-IT,864691136039356926,122240,212576,23071
77010,485973,aibs_neuronal,23P,864691135919310000,278688,101440,24937
81878,299705,aibs_neuronal,4P,864691135397455649,195696,170928,26203
83623,490669,aibs_neuronal,4P,864691135684176114,290960,151696,19193
83899,468085,aibs_neuronal,6P-CT,864691135081720311,268256,231392,20370
85928,621123,aibs_neuronal,6P-IT,864691136009418414,352112,215808,17012
1,266849,aibs_nonneuronal,astrocyte,864691136619535757,171184,194128,20082
2,485509,aibs_neuronal,23P,864691136740606812,282608,103808,20318
3,113721,aibs_neuronal,4P,864691135208436345,110208,153664,23546
4,263203,aibs_neuronal,4P,864691136194511948,166512,174176,24523
5,456177,aibs_neuronal,23P,864691134965388575,275616,135120,24873
6,160102,aibs_neuronal,4P,864691135538886258,128128,166528,24710
7,461339,aibs_neuronal,5P-IT,864691135013738998,277360,188592,17546
8,63729,aibs_nonneuronal,pericyte,864691135285896317,88928,111696,17029
9,553862,aibs_nonneuronal,microglia,864691136309666906,317568,118432,25476
10,222229,aibs_nonneuronal,astrocyte,864691135725628991,160928,124624,17067
11,204884,aibs_nonneuronal,astrocyte,864691136286587075,138880,244944,19489
12,453302,aibs_neuronal,23P,864691135741053547,275968,114464,15086
13,204710,aibs_neuronal,6P-IT,864691135759201870,134208,247184,18598
14,422284,aibs_nonneuronal,microglia,864691135341154737,252976,112992,22239
15,302377,aibs_neuronal,5P-IT,864691135988016131,180624,193904,17703
16,535917,aibs_nonneuronal,oligo,864691135858695528,298432,243840,18329
17,396599,aibs_nonneuronal,astrocyte,864691135945406756,237344,162592,20012
18,223131,aibs_neuronal,23P,864691136952747487,150880,111632,24610
19,161428,aibs_neuronal,4P,864691135754705869,127216,177904,17254
20,495903,aibs_nonneuronal,OPC,864691136646215708,284608,188848,26440
21,361213,aibs_neuronal,23P,864691135992592577,217072,132656,19736
22,518339,aibs_neuronal,23P,864691136274042814,305536,121200,20212
23,262975,aibs_neuronal,4P,864691135361197895,164144,165872,22646
24,519888,aibs_neuronal,23P,864691135065999172,297584,129776,19498
25,517979,aibs_neuronal,23P,864691136227803217,295200,123808,17670
26,125996,aibs_neuronal,5P-IT,864691135570708973,111936,209952,15602
27,358680,aibs_neuronal,23P,864691135182553602,217840,122528,16234
28,587203,aibs_neuronal,5P-IT,864691135387610241,331776,168544,18409
29,371829,aibs_neuronal,6P-IT,864691135118453981,227344,214656,19093
30,192177,aibs_nonneuronal,astrocyte,864691136088935479,133200,154160,18807
31,302532,aibs_neuronal,5P-IT,864691135394651637,187504,208768,18182
32,495262,aibs_neuronal,5P-IT,864691135502118722,284848,187728,21257
33,157685,aibs_neuronal,23P,864691136297693211,115760,146720,23928
34,130475,aibs_nonneuronal,OPC,864691135719287887,111584,225392,23119
35,360132,aibs_neuronal,23P,864691135969677157,216112,122000,26320
36,610723,aibs_neuronal,23P,864691135640034363,345568,110960,21799
37,403297,aibs_neuronal,6P-IT,864691135864884606,243600,225056,18607
38,196568,aibs_nonneuronal,astrocyte,864691135585115772,137840,178528,18634
39,674643,aibs_neuronal,6P-CT,864691137020423278,368624,233456,19043
40,582753,aibs_nonneuronal,astrocyte,864691136008499372,335040,114128,24552
41,295619,aibs_nonneuronal,microglia,864691135975448899,191568,147776,15704
42,305498,aibs_nonneuronal,microglia,864691135629829572,184464,209824,25464
43,361772,aibs_neuronal,23P,864691135338332646,218384,131280,24596
44,357041,aibs_nonneuronal,pericyte,864691135584263288,213648,87920,26090
45,580307,aibs_nonneuronal,microglia,864691136237537039,333824,82192,24845
46,291161,aibs_neuronal,23P,864691135292991414,184384,108896,21755
47,587355,aibs_neuronal,5P-IT,864691136663207646,339056,176048,19243
48,612818,aibs_neuronal,23P,864691135816512591,344064,132688,23873
49,30109,aibs_neuronal,23P,864691135278365089,67200,152176,20895
50,202918,aibs_neuronal,6P-CT,864691135716129050,138496,240432,19519
51,584179,aibs_neuronal,4P,864691135570226566,339888,142768,22621
52,486067,aibs_neuronal,23P,864691135762713654,281024,107408,26193
53,266436,aibs_neuronal,5P-IT,864691135992239041,174080,203776,17489
54,202291,aibs_nonneuronal,oligo,864691135838968510,138928,241296,16112
55,659189,aibs_nonneuronal,microglia,864691136004755658,373040,146304,24997
56,326760,aibs_neuronal,23P,864691136100899189,207840,121568,25350
57,399599,aibs_nonneuronal,microglia,864691135730194873,242320,184864,24554
58,566642,aibs_neuronal,6P-IT,864691135740333716,320224,236880,25136
59,358859,aibs_neuronal,23P,864691135687086048,214480,119248,17461
60,172344,aibs_neuronal,6P-CT,864691136274701581,115600,258080,22696
61,400680,aibs_nonneuronal,OPC,864691135463777861,230304,195072,18675
62,273184,aibs_neuronal,6P-IT,864691135360842311,163888,244368,18219
63,36703,aibs_neuronal,BPC,864691136717616750,72928,184704,21210
64,583521,aibs_neuronal,4P,864691135446112658,333744,138688,17577
65,261392,aibs_neuronal,4P,864691136287385283,178128,157872,27288
66,389145,aibs_neuronal,23P,864691135104986957,236112,108144,17948
67,717053,aibs_neuronal,6P-IT,864691135123316263,390144,222720,23159
68,453627,aibs_nonneuronal,astrocyte,864691135683931831,266800,113376,18293
69,520595,aibs_neuronal,23P,864691135856934446,311072,131920,23925
70,612086,aibs_neuronal,MC,864691135234072409,357888,129856,17306
71,328135,aibs_neuronal,23P,864691135383946475,207280,134480,19985
72,221107,aibs_neuronal,23P,864691135367942905,160144,110560,21268
73,420548,aibs_neuronal,23P,864691136595492002,261040,103568,19671
74,113155,aibs_neuronal,23P,864691135809476044,101552,149616,21520
75,274149,aibs_nonneuronal,astrocyte,864691135462243741,174128,246176,24662
76,696021,aibs_nonneuronal,oligo,864691135407313609,389168,135520,24518
77,161118,aibs_neuronal,5P-IT,864691135726377535,122224,192032,16040
78,719779,aibs_neuronal,6P-IT,864691136116277924,378256,240304,19202
79,361614,aibs_neuronal,23P,864691135163060781,219984,139024,23200
80,610081,aibs_neuronal,BPC,864691136675007741,347328,126896,16551
81,405168,aibs_nonneuronal,astrocyte,864691135233145433,230736,228624,17814
82,335341,aibs_neuronal,5P-IT,864691136912447985,204800,183936,20737
83,339711,aibs_neuronal,6P-IT,864691135655245506,198720,223920,20864
84,658980,aibs_neuronal,4P,864691134918384394,364240,152816,23409
85,397036,aibs_neuronal,4P,864691136482904620,239104,167600,23237
86,292323,aibs_neuronal,23P,864691135715896602,180848,116160,18302
87,304556,aibs_neuronal,6P-IT,864691135273045521,180752,215760,18891
88,202680,aibs_neuronal,6P-IT,864691135992231105,143184,238464,17307
89,236752,aibs_neuronal,6P-IT,864691135865609180,152848,234288,22698
90,268275,aibs_neuronal,5P-IT,864691135118703325,167840,217136,16396
91,551476,aibs_nonneuronal,astrocyte,864691135855669550,315440,100672,17757
92,89368,aibs_neuronal,6P-CT,864691135494064016,93984,262640,18257
93,133101,aibs_neuronal,6P-CT,864691136389168759,114144,243072,20846
94,106826,aibs_neuronal,23P,864691136039346686,107392,117232,20335
95,553221,aibs_nonneuronal,microglia,864691135841085155,322016,124384,19131
96,33315,aibs_neuronal,4P,864691136108738488,73680,171856,20140
97,484868,aibs_neuronal,NGC,864691135565631063,290608,84320,24817
98,397459,aibs_neuronal,4P,864691135345986719,242384,164240,25750
99,404343,aibs_neuronal,5P-NP,864691136329808618,233696,216432,25760
100,156799,aibs_neuronal,BC,864691135349313239,126624,148528,17700
101,340242,aibs_neuronal,6P-IT,864691135889564297,203264,220192,24679
102,299180,aibs_neuronal,4P,864691136362476770,188992,165808,23194
103,461301,aibs_neuronal,5P-ET,864691135737540996,272176,186432,17477
104,659540,aibs_neuronal,BPC,864691136662442974,361680,168864,15409
105,619847,aibs_neuronal,6P-IT,864691136238373436,351600,203888,21583
106,374084,aibs_nonneuronal,oligo,864691135366982393,223296,230000,21039
107,394887,aibs_neuronal,23P,864691135987910147,237744,143680,22129
108,202833,aibs_neuronal,6P-IT,864691135816250447,144528,229616,18722
109,593274,aibs_neuronal,BC,864691136553724578,341024,211104,24848
110,453301,aibs_neuronal,23P,864691135568915078,275296,117856,15694
111,238187,aibs_neuronal,6P-IT,864691135397160993,162592,248928,18432
112,493008,aibs_neuronal,5P-IT,864691136237423631,288320,174128,19656
113,438319,aibs_neuronal,6P-IT,864691137053659766,250672,247392,22343
114,675907,aibs_neuronal,6P-CT,864691135654919106,372144,231152,23870
115,490967,aibs_neuronal,4P,864691135491411175,285952,145968,20862
116,308225,aibs_nonneuronal,astrocyte,864691135502074717,196592,243408,16997
117,656635,aibs_neuronal,4P,864691136011810211,369824,155936,19422
118,259875,aibs_neuronal,4P,864691136923936228,168384,153600,17888
119,489508,aibs_neuronal,23P,864691135776590688,292144,132240,25598
120,224253,aibs_neuronal,23P,864691137198059585,156432,135712,20574
121,554275,aibs_neuronal,4P,864691135639714875,318144,139216,15793
122,170833,aibs_neuronal,6P-IT,864691136136605565,129376,246176,15190
123,556095,aibs_neuronal,4P,864691135270579365,325184,159104,17865
124,389339,aibs_neuronal,23P,864691134885712378,245584,106288,19872
125,227779,aibs_neuronal,4P,864691136226948945,153040,172368,19219
126,375554,aibs_neuronal,6P-IT,864691135490927463,217696,243728,18606
127,324083,aibs_nonneuronal,astrocyte,864691135233197401,209680,97472,19096
128,663062,aibs_nonneuronal,oligo,864691135474729280,364480,174224,27235
129,458410,aibs_nonneuronal,astrocyte,864691135181700866,276400,157776,25825
130,299501,aibs_neuronal,4P,864691136195066700,192704,162464,24275
131,619424,aibs_neuronal,6P-IT,864691135104768077,354080,204272,17378
132,424705,aibs_neuronal,23P,864691135695975834,250096,140496,26808
133,82115,aibs_neuronal,5P-IT,864691135065013828,89984,216672,20629
134,465787,aibs_neuronal,6P-IT,864691135683231986,272912,215136,17650
135,502957,aibs_neuronal,6P-IT,864691135807236637,291456,251472,21547
136,194718,aibs_neuronal,4P,864691136194110422,143552,164896,19892
137,613811,aibs_neuronal,4P,864691136672229117,350736,148192,16572
138,367672,aibs_nonneuronal,oligo,864691136226955601,225648,187968,18800
139,112514,aibs_neuronal,23P,864691136309037463,109984,152096,17323
140,205641,aibs_neuronal,6P-IT,864691135335253481,144544,257184,23599
141,152972,aibs_neuronal,23P,864691135841348835,126720,115888,17274
142,610218,aibs_neuronal,23P,864691136483690796,356240,126128,17862
143,121338,aibs_nonneuronal,OPC,864691135338772454,107920,184624,25041
144,533451,aibs_neuronal,6P-IT,864691135569890182,308112,222496,26862
145,330194,aibs_neuronal,4P,864691135511514064,201520,152240,20142
146,426799,aibs_neuronal,4P,864691135181721090,257232,150544,26231
147,562889,aibs_nonneuronal,OPC,864691135684200887,327120,205856,22188
148,337613,aibs_neuronal,5P-IT,864691135755436498,209568,203312,19568
149,126050,aibs_neuronal,5P-NP,864691136208995260,104192,209328,16292
150,489152,aibs_neuronal,23P,864691135754741453,292464,128160,22457
151,554238,aibs_neuronal,23P,864691135278952097,314832,127328,16303
152,201447,aibs_nonneuronal,microglia,864691135593528619,139712,220688,22125
153,456143,aibs_neuronal,23P,864691135859427432,270144,129024,24277
154,160953,aibs_neuronal,BC,864691135874571150,115616,184640,15493
155,305607,aibs_nonneuronal,pericyte,864691135776584759,187536,218496,26073
156,533427,aibs_neuronal,6P-IT,864691136032086715,301952,224368,26597
157,292602,aibs_neuronal,23P,864691135866483845,193440,126192,19719
158,67310,aibs_neuronal,23P,864691135926421716,97936,126960,17585
159,257212,aibs_neuronal,23P,864691135338113510,169440,122160,26911
160,452433,aibs_nonneuronal,astrocyte,864691135526095451,277024,98992,18982
161,585522,aibs_neuronal,4P,864691135082205943,331728,144528,18504
162,191878,aibs_neuronal,4P,864691136723510525,134368,154256,17272
163,207673,aibs_neuronal,6P-IT,864691136925335370,145216,259456,21084
164,457210,aibs_neuronal,4P,864691135195175210,275024,144192,18026
165,453530,aibs_neuronal,23P,864691136312808253,264848,123440,17401
166,749264,aibs_neuronal,4P,864691135385360981,395856,135296,23825
167,304250,aibs_neuronal,6P-CT,864691136286539459,193424,217024,17084
168,689789,aibs_nonneuronal,astrocyte,864691136390434431,384576,100256,24069
169,270668,aibs_neuronal,6P-IT,864691135163263021,167936,230272,16516
170,235770,aibs_neuronal,6P-IT,864691135737477252,161744,240432,16023
171,328633,aibs_neuronal,23P,864691135383849195,196592,136864,24397
172,462401,aibs_nonneuronal,oligo,864691136010902435,270928,187968,24130
173,268514,aibs_neuronal,5P-IT,864691136812888947,176560,210688,16954
174,582027,aibs_nonneuronal,microglia,864691136236719375,328336,114144,18047
175,673030,aibs_nonneuronal,microglia,864691135660477168,367664,223200,23442
176,225253,aibs_neuronal,4P,864691135655153602,150432,159632,16311
177,487833,aibs_neuronal,BPC,864691135469009490,292352,124832,26537
178,257659,aibs_neuronal,23P,864691136274232589,179824,134448,17088
179,722421,aibs_neuronal,6P-IT,864691135915157350,383680,226128,25271
180,493548,aibs_neuronal,5P-IT,864691135618102671,290448,171840,23337
181,343941,aibs_neuronal,6P-IT,864691135468960594,212656,244896,19608
182,153115,aibs_neuronal,23P,864691136818701166,119088,121184,19333
183,436349,aibs_neuronal,6P-IT,864691136974276124,253760,231584,23091
184,608250,aibs_neuronal,NGC,864691136008999086,354880,98080,20270
185,223355,aibs_neuronal,23P,864691135776633261,151152,126992,26580
186,581320,aibs_neuronal,23P,864691135367479289,336096,96752,24221
187,582110,aibs_neuronal,BC,864691136545356706,342096,118800,18459
188,390793,aibs_nonneuronal,astrocyte,864691136309653594,245040,116400,18867
189,521879,aibs_neuronal,4P,864691136556839074,294944,158480,19933
190,308265,aibs_neuronal,6P-IT,864691135117797341,185408,247760,17318
191,227689,aibs_neuronal,4P,864691136371514504,158544,169984,18429
192,195699,aibs_nonneuronal,astrocyte,864691136209567420,134400,176192,27000
193,363748,aibs_neuronal,4P,864691135341802949,220592,158752,22894
194,327468,aibs_neuronal,23P,864691135731072697,200560,139264,16831
195,580087,aibs_nonneuronal,astrocyte,864691135939644326,331472,86112,21106
196,496931,aibs_neuronal,6P-IT,864691135738527857,280144,205072,20792
197,651085,aibs_nonneuronal,astrocyte,864691136237509436,361984,134336,18203
198,567931,aibs_nonneuronal,OPC,864691135777128637,318656,248720,20609
199,596080,aibs_neuronal,6P-IT,864691135594395179,329024,244432,18418
200,291835,aibs_nonneuronal,OPC,864691135947767905,180032,118032,15503
201,690135,aibs_neuronal,BPC,864691136965797582,381776,107568,26934
202,551958,aibs_neuronal,23P,864691136310695770,323872,108208,21618
203,696006,aibs_nonneuronal,pericyte,864691135553840470,387936,140768,24550
204,221954,aibs_neuronal,23P,864691135490935911,151200,122400,15600
205,331073,aibs_neuronal,4P,864691135618101391,197824,147488,25569
206,161689,aibs_nonneuronal,microglia,864691135568913798,122688,179184,18847
207,372466,aibs_neuronal,6P-IT,864691135947700321,221552,212064,24280
208,365238,aibs_nonneuronal,oligo,864691136056397272,228704,167520,18062
209,393889,aibs_neuronal,4P,864691136021301496,233424,156128,16661
210,86887,aibs_neuronal,6P-IT,864691136318306014,89104,242400,18283
211,304515,aibs_neuronal,6P-CT,864691135851557831,195728,223600,18627
212,491068,aibs_neuronal,4P,864691136811836275,282896,157328,21764
213,395820,aibs_nonneuronal,OPC,864691136177078998,239552,174416,16075
214,339933,aibs_neuronal,5P-IT,864691135208699001,203472,212736,22411
215,344029,aibs_neuronal,6P-IT,864691134940701027,207728,257376,20606
216,230074,aibs_nonneuronal,astrocyte,864691136904127410,149472,192256,19964
217,119793,aibs_nonneuronal,OPC,864691135259555130,97504,182736,18161
218,437460,aibs_neuronal,6P-IT,864691135491043943,256224,244592,16826
219,260207,aibs_neuronal,4P,864691135975233135,176432,151184,18930
220,294432,aibs_neuronal,23P,864691135335323113,194688,142208,19530
221,372423,aibs_neuronal,MC,864691135345612959,228784,213968,24086
222,457216,aibs_neuronal,4P,864691136488019218,275952,145120,18542
223,617620,aibs_neuronal,5P-IT,864691135740287892,346016,189936,17625
224,70843,aibs_neuronal,23P,864691136309656410,87552,144512,20317
225,107413,aibs_neuronal,23P,864691135772531019,103712,117024,25119
226,588006,aibs_neuronal,5P-IT,864691136535185058,328912,170096,26088
227,222913,aibs_neuronal,23P,864691136951549407,160848,120592,22372
228,522411,aibs_nonneuronal,astrocyte,864691135937502773,305984,143552,22497
229,403794,aibs_nonneuronal,oligo,864691135462718270,229376,218208,21317
230,531789,aibs_neuronal,6P-IT,864691136389677072,301600,215040,15822
231,423901,aibs_neuronal,23P,864691136286604483,255280,127248,21040
232,673238,aibs_neuronal,6P-IT,864691135491026663,372224,212224,25343
233,104850,aibs_neuronal,23P,864691136311834173,105328,109056,20813
234,298774,aibs_neuronal,5P-IT,864691135135736601,180912,170736,20810
235,187580,aibs_nonneuronal,microglia,864691135472137778,140496,105104,22759
236,357403,aibs_nonneuronal,microglia,864691136311803197,227760,106784,17881
237,112358,aibs_neuronal,23P,864691136123786534,106768,150352,16945
238,226422,aibs_neuronal,4P,864691135308224070,156672,150272,23077
