id,target_id,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
4490,18023,NGC,864691135207734905,81008,108240,16995
28785,18312,NGC,864691135758479438,77392,105280,17650
2439,255686,23P,864691135568539372,175760,126480,15504
31608,204945,6P-CT,864691135208560505,142992,241984,19204
31231,20997,23P,864691136085125484,75504,119184,15108
28166,235619,5P-IT,864691135645393647,158928,231792,15515
32961,21781,23P,864691135864089470,79632,121456,16754
18879,21783,23P,864691135560505569,80128,124000,16563
43426,21785,23P,864691136315868311,80144,126928,16622
43439,21787,23P,864691136324529047,80560,120192,16874
13398,21788,23P,864691135462278045,80896,123024,16680
35741,21790,23P,864691135945519140,81600,119296,16558
4125,22026,23P,864691135181811970,77984,119056,17735
6122,22033,23P,864691135274095077,80080,123744,17536
21713,22036,23P,864691135589949195,81040,125248,17264
33629,22037,23P,864691135876009555,81248,119600,17563
42365,22388,23P,864691136237494332,81168,124816,18561
22310,22941,23P,864691135614145483,79888,121248,19370
35696,22948,23P,864691135945493796,80448,122768,18821
3853,22970,23P,864691135162232877,66144,117984,20072
26922,23018,23P,864691135730185145,66944,121632,19848
11629,23083,23P,864691135403774702,67616,125632,20278
9404,23114,23P,864691135135408153,69264,119728,20245
19290,493863,23P,864691135163133229,284800,166096,25563
18294,23141,6P-CT,864691135468118156,71344,121536,20214
23928,174975,6P-IT,864691135118550749,115696,268624,23252
26509,3813,6P-IT,864691135724233643,64400,121984,20069
44440,3819,23P,864691136436395166,65248,123392,20039
1074,23136,6P-IT,864691135502726837,71216,117440,20016
1788,23148,23P,864691135575854622,72016,124384,20150
6560,23130,23P,864691135292192182,70640,123120,19918
38914,555657,23P,864691135848735582,312160,147968,15100
13808,6671,6P-IT,864691135463509061,64832,148832,19790
14118,28178,5P-PT,864691135468040121,81040,144400,16812
29260,7369,6P-CT,864691135762000950,65712,148400,21545
21901,28760,23P,864691135593557035,81296,154544,17629
16758,28761,23P,864691135501810013,81840,143264,17919
2646,29807,5P-PT,864691135103998029,66432,145632,20024
43555,29808,23P,864691136333746355,66224,155712,20154
16236,29829,6P-CT,864691135494043024,67344,152848,19954
37352,30133,23P,864691135992486593,70432,159776,20504
3082,29845,5P-PT,864691135122295079,69248,151872,20206
38892,29852,6P-CT,864691136023767609,70016,149632,19928
19934,29872,23P,864691135571221285,70848,154288,20280
39139,201330,5P-IT,864691135867650582,139792,220576,21293
10586,29898,23P,864691135385264469,72896,151600,19904
25672,29941,23P,864691135699275042,73712,150832,20289
8543,29968,23P,864691135348291799,74624,150720,19782
9774,623477,6P-CT,864691135367860729,356384,234144,19413
44485,30093,23P,864691135294045964,81488,144336,19820
7544,29832,23P,864691136238338108,68400,146208,19797
5960,30092,23P,864691135272178705,81280,145328,20130
30053,30095,23P,864691135776620896,81952,158752,19928
18822,30102,23P,864691135560468961,65680,158192,20757
2444,30147,23P,864691135099838240,72880,155696,20931
22530,29264,BPC,864691135616146537,81504,153904,18220
11940,194144,4P,864691135614842827,136400,170640,17951
30975,30499,23P,864691136287365059,74784,156272,21297
32241,73930,4P,864691136040206078,95904,167904,18987
31872,30163,NGC,864691135823391340,76048,145120,20994
14257,30171,4P,864691135469590457,75952,159712,20297
4151,30181,23P,864691135181824514,78240,144928,20855
4334,30183,5P-IT,864691135194418986,79344,157408,21022
10760,30157,23P,864691135208161401,74864,156528,20603
7541,30187,23P,864691135337743846,79648,155904,20916
35207,30189,BPC,864691135939649702,80176,147424,20860
11565,30218,23P,864691135403726574,66256,156176,21285
8288,30445,6P-CT,864691135345220511,72176,149936,21365
6812,30449,23P,864691135303187623,72448,154544,21466
30899,30480,23P,864691135785293252,73760,145696,21287
1317,30489,5P-PT,864691135012448246,73984,146432,21475
11178,30495,5P-PT,864691135393988085,74368,154208,21261
23664,30550,23P,864691135654090434,77504,150896,21246
30874,31215,5P-PT,864691135785274820,78640,170240,14971
