id,pt_root_id,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,unit_id
582276,864691135738685297,338720,125232,19589,7,5,4909
194144,864691135614842827,136400,170640,17951,7,4,9575
293318,864691135502985397,189472,119296,26037,9,4,8066
332833,864691135387371905,209328,174304,20004,6,7,6413
295460,864691135661410544,185088,157776,15691,9,3,7748
585835,864691135349275351,338864,157856,20916,7,5,7441
455044,864691137197706305,266352,131552,16081,6,6,3727
455044,864691137197706305,266352,131552,16081,6,7,3379
553321,864691136602371025,325216,120608,20258,7,3,2288
553321,864691136602371025,325216,120608,20258,7,4,5776
390821,864691135065322052,233744,113648,20003,6,2,2154
327468,864691135731072697,200560,139264,16831,4,7,3035
256550,864691135565275479,178448,119968,21422,5,6,2243
360333,864691136194984268,216560,120384,27425,5,3,1952
267008,864691135938356484,169216,196416,20820,5,3,7019
255487,864691135975395439,167584,104848,26197,6,6,2042
424095,864691136923754212,252688,128016,22116,7,5,4332
424095,864691136923754212,252688,128016,22116,4,7,2891
256578,864691136619416973,165328,114000,22174,7,4,2673
396066,864691136673575047,245616,166736,16945,6,7,6980
464805,864691135544785448,276400,193984,26189,7,3,9003
294576,864691135272867601,188320,131408,21605,9,6,4657
294576,864691135272867601,188320,131408,21605,8,5,2014
294576,864691135272867601,188320,131408,21605,7,4,5439
227790,864691135577813765,154320,160640,19029,9,3,2533
516758,864691136309871706,310496,110640,19081,5,7,2529
462014,864691135737772676,270400,180352,21928,5,7,7489
189004,864691135866987798,132032,112368,22787,6,4,1738
456149,864691135759371086,271184,142656,24723,5,7,4384
328546,864691135013895574,210240,142528,23071,6,4,4299
116028,864691136145003159,109664,163600,17036,9,3,5086
292822,864691135407816393,180768,121968,22131,9,4,7982
296761,864691136119541016,186720,153056,22293,5,6,5174
554900,864691135463695429,319856,127568,20741,4,7,3899
527507,864691135841932515,306656,179552,21952,5,6,6776
106431,864691135725228203,110288,126400,16890,9,4,2536
106436,864691135133547168,110768,126704,17166,9,4,2212
109717,864691137020483694,113280,128928,19841,9,4,5391
489327,864691136379765205,294096,130512,23526,6,7,4432
109157,864691135233954137,111984,133232,16471,9,4,7830
109255,864691136324904087,114080,141136,17008,8,5,5129
109227,864691135195405354,108624,129984,16824,9,4,2100
390011,864691135494448016,243232,104192,26468,6,2,2262
389773,864691136085179244,240816,109040,24200,9,4,1747
389773,864691136085179244,240816,109040,24200,5,7,2171
587437,864691135292343990,340320,169072,19614,6,4,7483
458010,864691136195216460,277808,150592,23617,9,3,4609
489554,864691135416661690,287520,134784,26175,6,4,4671
457447,864691134940425315,269920,159344,20254,7,4,9229
590575,864691136991031445,335520,195632,20257,6,6,8326
490669,864691135684176114,290960,151696,19193,9,3,5774
560872,864691135954810888,324096,181696,22339,5,3,7280
458527,864691135275203557,275424,151888,26776,5,3,5457
329954,864691135100947488,208096,148896,18072,6,2,4444
653566,864691135926647252,365200,131488,22881,5,7,4119
296628,864691135919483824,185568,148912,21272,6,2,4830
255316,864691135856136750,172848,107536,23740,6,6,1734
191609,864691135292589750,146016,148432,15075,6,4,4468
152685,864691136264144612,119184,120816,15615,7,4,2388
152685,864691136264144612,119184,120816,15615,6,2,2410
191631,864691135577818373,131456,152960,16001,6,2,5335
191685,864691135361193287,137088,149536,16055,6,4,4499
191644,864691135564667223,133360,154928,16469,5,7,4986
191587,864691136051479539,141920,149360,15603,6,4,4466
188366,864691136311934269,146608,125440,17707,9,4,2468
191730,864691136143415348,143760,151552,16326,5,7,5294
191545,864691135810264268,135200,149088,15411,6,4,4495
191709,864691135349171415,139296,147152,16035,6,6,4539
191642,864691136091843252,133600,159264,15874,9,3,2172
191785,864691135257104047,136512,154880,16796,5,7,4871
191819,864691135571803629,141104,154320,16527,6,2,5234
