id,pt_root_id,pt_position_x,pt_position_y,pt_position_z,target_id,cell_type
348209,864691134945836023,200928,282512,16717,348209,not-neuron
462557,864691135294515893,266304,178832,25200,462557,not-neuron
266849,864691136619535757,171184,194128,20082,266849,not-neuron
485509,864691136740606812,282608,103808,20318,485509,neuron
113721,864691135208436345,110208,153664,23546,113721,neuron
263203,864691136194511948,166512,174176,24523,263203,neuron
456177,864691134965388575,275616,135120,24873,456177,neuron
364447,864691135975515247,216064,166800,15025,364447,neuron
160102,864691135538886258,128128,166528,24710,160102,neuron
461339,864691135013738998,277360,188592,17546,461339,neuron
63729,864691135285896317,88928,111696,17029,63729,not-neuron
280699,864691134482566442,170048,280512,26313,280699,not-neuron
553862,864691136309666906,317568,118432,25476,553862,not-neuron
222229,864691135725628991,160928,124624,17067,222229,not-neuron
204884,864691136286587075,138880,244944,19489,204884,not-neuron
453302,864691135741053547,275968,114464,15086,453302,neuron
204710,864691135759201870,134208,247184,18598,204710,neuron
422284,864691135341154737,252976,112992,22239,422284,not-neuron
70960,864691134995991844,82816,152816,20349,70960,not-neuron
302377,864691135988016131,180624,193904,17703,302377,neuron
517817,864691135519591259,297808,112912,16350,517817,not-neuron
535917,864691135858695528,298432,243840,18329,535917,not-neuron
396599,864691135945406756,237344,162592,20012,396599,neuron
220074,864691135858964840,160096,84496,25380,220074,not-neuron
223131,864691136952747487,150880,111632,24610,223131,neuron
400391,864691135257517780,229680,204352,16968,400391,not-neuron
161428,864691135754705869,127216,177904,17254,161428,neuron
645304,864691134808962079,368096,123360,18422,645304,neuron
495903,864691136646215708,284608,188848,26440,495903,not-neuron
361213,864691135992592577,217072,132656,19736,361213,neuron
518339,864691136274042814,305536,121200,20212,518339,neuron
166888,864691135590269451,118064,225040,18872,166888,not-neuron
262975,864691135361197895,164144,165872,22646,262975,neuron
519888,864691135065999172,297584,129776,19498,519888,neuron
591886,864691135758515790,341520,211664,14987,591886,neuron
517979,864691136227803217,295200,123808,17670,517979,neuron
125996,864691135570708973,111936,209952,15602,125996,neuron
636673,864691135807236125,373376,89088,25186,636673,not-neuron
275705,864691135777482173,168240,263200,19565,275705,not-neuron
472273,864691135818950201,277984,268080,18129,472273,neuron
358680,864691135182553602,217840,122528,16234,358680,neuron
587203,864691135387610241,331776,168544,18409,587203,neuron
371829,864691135118453981,227344,214656,19093,371829,neuron
192177,864691136088935479,133200,154160,18807,192177,not-neuron
508589,864691134837474742,291984,278672,24993,508589,not-neuron
302532,864691135394651637,187504,208768,18182,302532,neuron
139687,864691135331943776,106192,290560,17444,139687,not-neuron
495262,864691135502118722,284848,187728,21257,495262,neuron
625589,864691135489080122,351776,251904,20304,625589,neuron
157685,864691136297693211,115760,146720,23928,157685,neuron
130475,864691135719287887,111584,225392,23119,130475,not-neuron
624906,864691135807599901,357760,252128,16141,624906,not-neuron
360132,864691135969677157,216112,122000,26320,360132,neuron
504344,864691135509033481,287296,273024,17372,504344,not-neuron
610723,864691135640034363,345568,110960,21799,610723,neuron
403297,864691135864884606,243600,225056,18607,403297,neuron
196568,864691135585115772,137840,178528,18634,196568,not-neuron
674643,864691137020423278,368624,233456,19043,674643,neuron
582753,864691136008499372,335040,114128,24552,582753,not-neuron
295619,864691135975448899,191568,147776,15704,295619,not-neuron
648200,864691136213164734,367504,126272,22963,648200,not-neuron
305498,864691135629829572,184464,209824,25464,305498,not-neuron
361772,864691135338332646,218384,131280,24596,361772,neuron
357041,864691135584263288,213648,87920,26090,357041,not-neuron
580307,864691136237537039,333824,82192,24845,580307,not-neuron
763496,864691135864894206,402576,224288,22583,763496,neuron
291161,864691135292991414,184384,108896,21755,291161,neuron
587355,864691136663207646,339056,176048,19243,587355,neuron
612818,864691135816512591,344064,132688,23873,612818,neuron
441138,864691136105443289,251056,268800,24198,441138,not-neuron
465284,864691136602127057,266672,221552,15004,465284,neuron
30109,864691135278365089,67200,152176,20895,30109,neuron
569328,864691136221912027,322128,263728,16218,569328,not-neuron
93921,864691135212089508,83344,295344,19794,93921,not-neuron
202918,864691135716129050,138496,240432,19519,202918,neuron
584179,864691135570226566,339888,142768,22621,584179,neuron
486067,864691135762713654,281024,107408,26193,486067,neuron
266436,864691135992239041,174080,203776,17489,266436,neuron
202291,864691135838968510,138928,241296,16112,202291,not-neuron
659189,864691136004755658,373040,146304,24997,659189,not-neuron
209585,864691135445632402,138528,281984,16946,209585,not-neuron
597785,864691135075916992,336576,267568,16048,597785,not-neuron
121142,864691135908473780,107088,183488,24300,121142,not-neuron
326760,864691136100899189,207840,121568,25350,326760,neuron
399599,864691135730194873,242320,184864,24554,399599,not-neuron
566642,864691135740333716,320224,236880,25136,566642,neuron
358859,864691135687086048,214480,119248,17461,358859,neuron
345977,864691136286956739,205664,264048,18531,345977,not-neuron
551257,864691135139689295,311232,99280,15643,551257,not-neuron
172344,864691136274701581,115600,258080,22696,172344,neuron
400680,864691135463777861,230304,195072,18675,400680,not-neuron
273184,864691135360842311,163888,244368,18219,273184,neuron
36703,864691136717616750,72928,184704,21210,36703,neuron
583521,864691135446112658,333744,138688,17577,583521,neuron
473673,864691134711627419,269840,272112,26309,473673,not-neuron
292111,864691135528155076,191696,122784,16969,292111,not-neuron
261392,864691136287385283,178128,157872,27288,261392,neuron
389145,864691135104986957,236112,108144,17948,389145,neuron
717053,864691135123316263,390144,222720,23159,717053,neuron
453627,864691135683931831,266800,113376,18293,453627,not-neuron
520595,864691135856934446,311072,131920,23925,520595,neuron
168263,864691135413251040,115024,232496,15419,168263,not-neuron
246869,864691135089107050,148032,301792,24282,246869,neuron
611510,864691135113908121,356896,111568,27767,611510,neuron
612086,864691135234072409,357888,129856,17306,612086,neuron
328135,864691135383946475,207280,134480,19985,328135,neuron
379154,864691135182058242,215776,271456,24262,379154,not-neuron
221107,864691135367942905,160144,110560,21268,221107,neuron
124786,864691135072846327,104560,208592,24568,124786,neuron
645759,864691135279988091,361664,111392,20018,645759,neuron
420548,864691136595492002,261040,103568,19671,420548,neuron
113155,864691135809476044,101552,149616,21520,113155,neuron
394239,864691134800170636,242976,151600,18189,394239,not-neuron
274149,864691135462243741,174128,246176,24662,274149,not-neuron
696021,864691135407313609,389168,135520,24518,696021,not-neuron
589992,864691136236710671,338448,200800,14879,589992,not-neuron
161118,864691135726377535,122224,192032,16040,161118,neuron
