pt_root_id,status_dendrite,status_axon,pt_position_x,pt_position_y,pt_position_z
864691134884807418,extended,extended,299067,123129,22993
864691134885430010,extended,non,181280,223040,21399
864691134885645050,extended,non,172288,222528,21607
864691134918370314,clean,clean,170528,226848,20316
864691134918461194,clean,clean,189760,127520,20540
864691134918493450,extended,non,176416,211872,22512
864691134918495498,clean,clean,192224,177248,22213
864691134918499338,clean,clean,175872,148112,21814
864691134918499850,clean,clean,184016,173104,22527
864691134918514698,clean,clean,169040,153744,21107
864691134918520074,clean,clean,184768,167088,21715
864691134940133219,extended,extended,149480,190770,23351
864691134940621667,extended,non,185312,216224,21353
864691134940999267,extended,clean,175264,198256,21776
864691134941057891,clean,clean,178048,104048,22251
864691134941063523,extended,clean,171952,196880,21777
864691134941129571,clean,clean,191088,168400,21349
864691134941133667,clean,clean,172432,171008,20481
864691134941157731,clean,clean,182768,165328,22488
864691134941194083,clean,clean,176480,176416,22599
864691134941194851,clean,clean,181216,134624,21266
864691134948433660,clean,clean,175280,107184,21940
864691134948493308,clean,clean,182048,115584,21330
864691134965056287,extended,clean,173712,144608,22060
864691134965110559,extended,non,170096,206400,22081
864691134965471007,extended,extended,171888,209344,22995
864691134965486879,extended,clean,170928,142608,21356
864691134965653279,clean,clean,171552,144112,21874
864691134965657631,clean,clean,186448,152992,22049
864691134965664287,clean,clean,186928,177312,21444
864691134989477754,clean,extended,308256,212976,23470
864691134989492090,clean,clean,183584,136144,20422
864691134989537658,extended,non,181456,214096,22429
864691134989631098,clean,clean,171872,116864,21509
864691134989683322,clean,clean,348448,136208,19603
864691135012753654,extended,non,169088,207456,21920
864691135013439638,non,clean,366518,254764,21495
864691135013445270,extended,extended,169520,170016,21144
864691135013560726,extended,non,192144,211616,21338
864691135013628918,clean,clean,187920,136608,20472
864691135013667062,extended,non,182000,214432,20731
864691135013768694,clean,clean,175184,112320,21779
864691135013774070,extended,non,181680,227760,21700
864691135013789942,clean,clean,177392,130416,22352
864691135013866998,clean,clean,178992,151872,20381
864691135013962134,clean,clean,187312,111232,22632
864691135013978774,clean,clean,181376,125680,22521
864691135014124950,clean,clean,172752,180384,21397
864691135014128278,extended,extended,185584,170240,21046
864691135014131862,clean,clean,168816,176656,21457
864691135014159510,clean,clean,183552,169792,20241
864691135014167446,clean,clean,187280,162544,22042
864691135014167702,clean,clean,173888,166304,22116
864691135014211734,clean,clean,179664,179968,22345
864691135014237590,clean,clean,175328,159648,21658
864691135059143323,extended,extended,296712,168512,23849
864691135059717787,clean,clean,170784,162192,20696
864691135059722139,clean,clean,175584,167904,22492
864691135065145924,extended,non,170672,217888,22192
864691135065644612,extended,non,186800,182960,22134
864691135065645124,extended,clean,187280,118848,21755
864691135066182980,clean,clean,170192,147984,21335
864691135066217796,clean,clean,183360,169376,20619
864691135066231364,extended,non,186192,231456,22143
864691135066300228,clean,clean,177072,163712,21174
864691135066302020,extended,clean,189072,142016,21337
864691135066302276,clean,clean,175312,148544,21082
864691135081877495,extended,non,171232,194720,21159
864691135082074103,extended,extended,185296,245952,24347
864691135082074359,extended,extended,180528,242928,22535
864691135082322679,extended,extended,187840,207232,22680
864691135082382327,extended,non,176448,192352,21250
864691135082411255,extended,non,190352,200160,22227
864691135082763767,clean,clean,171712,128336,22290
864691135082840567,extended,extended,185968,165312,21220
864691135082846711,clean,clean,186080,148288,20933
864691135099901728,extended,extended,301816,223456,23649
864691135100167712,extended,extended,171488,139312,21678
864691135100604448,extended,extended,182592,122624,21768
864691135104669005,clean,clean,174896,123888,21342
864691135104753741,extended,non,175072,229600,22524
864691135105143629,extended,clean,181568,212640,21847
864691135105179725,extended,extended,178752,204992,21876
864691135105190989,extended,non,178096,216496,20213
864691135113360025,extended,extended,174064,254832,22081
864691135113733529,extended,extended,275364,160058,23827
864691135113792921,clean,clean,327232,121712,21861
864691135114178969,extended,extended,184512,198528,21011
864691135114203545,clean,clean,188944,119984,21398
864691135117980637,extended,extended,292172,160290,25727
864691135118298333,clean,extended,238080,196896,19088
864691135118404573,extended,clean,172224,126656,21141
864691135122469671,clean,clean,341712,107936,18333
864691135122934055,clean,clean,184944,132544,21307
864691135123429927,clean,clean,176464,133552,22445
864691135123462183,clean,clean,189408,153008,21492
864691135132887456,extended,extended,190416,99456,20385
864691135133615264,extended,clean,189152,142800,22311
864691135135264793,clean,clean,187936,107488,20888
864691135135291673,extended,non,175120,224448,21961
864691135135346457,clean,clean,192208,167104,20176
864691135135409433,extended,non,169264,265936,21424
864691135135756569,clean,clean,173008,150960,21332
864691135135832857,clean,clean,172032,160176,22201
864691135156248932,extended,non,175616,238560,22234
864691135156351588,extended,non,172096,245152,21919
864691135156674148,clean,clean,189280,119376,20359
864691135156708964,clean,clean,180016,157312,21177
864691135156772452,clean,clean,177008,172176,20510
864691135156815716,clean,clean,171040,168096,22526
864691135162585389,extended,extended,193056,168768,21792
864691135162908461,extended,extended,311546,157458,22902
864691135162983725,extended,extended,287632,192944,19549
864691135163006509,extended,non,181712,182736,21608
864691135163315501,extended,extended,176080,118192,21795
864691135163477037,extended,extended,200224,263424,25547
864691135182405378,extended,clean,186048,128336,22528
864691135182412802,clean,clean,189472,127760,21804
864691135182444802,extended,non,186240,220736,23377
864691135182457602,extended,non,183008,226512,22630
864691135182879746,extended,clean,175376,203728,22239
864691135182900482,extended,extended,185856,110288,20415
864691135194735914,extended,extended,174432,200608,21567
864691135195071786,extended,non,169760,177696,22191
864691135195078186,clean,clean,179504,112352,20886
864691135195097642,extended,non,182384,221984,21630
864691135195149866,extended,non,178816,210528,22322
864691135195576362,extended,extended,188240,161648,21466
864691135208918905,clean,clean,169648,179488,22476
864691135208943225,clean,clean,174400,161696,20530
864691135208968313,extended,clean,174880,109920,22317
864691135208971897,clean,clean,177360,165072,21648
864691135210763200,extended,non,182960,217552,23049
864691135211160512,clean,clean,180560,138128,22136
864691135211264448,clean,clean,170304,163664,21335
864691135212863360,extended,extended,267551,204473,25114
864691135213344896,clean,clean,186000,120640,20761
864691135213364352,extended,non,191312,192688,20556
864691135213385088,extended,non,178880,221920,21415
864691135213410432,extended,non,176112,212784,21458
864691135213650232,clean,clean,182080,112288,21095
864691135213651768,clean,clean,175328,127936,22400
