,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer,is_pre_tuned
169,471226230,t,115204905823716115,864691135815818063,115204905823727805,864691135385367125,236,[366798 144812  27179],[366816 144840  27191],[366848 144790  27186],"[1411.1241018075289, 308.246962783385, 1087.1600000000003]",L4,nan
258,477946135,t,115764419602229823,864691135759792061,115694050858045698,864691135385367125,696,[370734 119110  25864],[370646 119188  25873],[370664 119174  25867],"[1435.7684987346868, 207.20235827578796, 1034.5600000000002]",L2/3,nan
263,483044145,t,116114820348207514,864691135771721803,116114820348217897,864691135385367125,7420,[373480 108594  26795],[373560 108682  26799],[373548 108616  26792],"[1450.376820461464, 166.2557431735971, 1071.8000000000002]",L2/3,nan
272,489490410,t,117029407864075856,864691135986210979,117029407864070289,864691135385367125,32316,[380124 106970  26790],[380212 106886  26776],[380178 106936  26785],"[1477.417854462839, 162.10071343405482, 1071.6000000000004]",L2/3,nan
326,493539794,t,117170969986024578,864691136482892844,117170969986034209,864691135385367125,18504,[381120 113160  26659],[381066 113266  26666],[381084 113188  26660],"[1479.2287179496045, 187.11372263791313, 1066.3600000000004]",L2/3,nan
330,497420669,t,118366070406263484,864691135759451069,118366070406267034,864691135385367125,4120,[389924 104530  26981],[389946 104502  26987],[389912 104526  26987],"[1517.3193266772523, 155.79435829638766, 1079.2400000000002]",L2/3,nan
392,499893468,t,118367307356806873,864691136091326644,118367307356821738,864691135385367125,2952,[389910 113774  26942],[389970 113776  26956],[389902 113802  26951],"[1514.040869030322, 192.62477273143415, 1077.6800000000003]",L2/3,nan
424,483354089,t,115976144309951203,864691137016657262,115976075590488657,864691135385367125,4728,[372684 123646  25796],[372710 123560  25794],[372674 123572  25801],"[1441.9574635833885, 225.95712967139627, 1031.8400000000001]",L2/3,nan
436,491068662,t,117098264846818046,864691136215646142,117098264846815987,864691135385367125,3116,[380818  95796  27251],[380844  95742  27249],[380860  95796  27255],"[1484.078804022591, 117.81673955001368, 1090.0400000000002]",L2/3,nan
448,489856654,t,116750612947328291,864691135122350375,116750612947357360,864691135385367125,6244,[378012 126862  27135],[378098 126848  27136],[378068 126822  27131],"[1462.0671935144144, 240.62964145708662, 1085.4000000000003]",L2/3,nan
485,494323805,t,117733438836514544,864691135571248421,117733438836492983,864691135385367125,4848,[385536 109568  26621],[385500 109652  26607],[385470 109561  26610],"[1498.0777548084952, 174.3399162556255, 1064.8400000000001]",L2/3,nan
490,502808787,t,119212007298939516,864691135132681376,119141638554757519,864691135385367125,328,[395904 115802  27854],[395786 115748  27856],[395847 115801  27854],"[1537.2186257266007, 202.79555021047227, 1114.1600000000003]",L2/3,nan
592,482336220,t,116186494628518253,864691135939658150,116186425908980831,864691135385367125,14076,[373994 118016  25987],[373984 117948  25990],[374036 117990  25990],"[1449.1402711280668, 203.97952116236794, 1039.4800000000002]",L2/3,nan
604,494323869,t,117733576342048207,864691136143665204,117803945086248025,864691135385367125,4852,[385474 110326  26671],[385572 110326  26672],[385532 110398  26677],"[1497.5664423113578, 177.33876395603835, 1066.8400000000001]",L2/3,nan
671,483896072,t,116048299961781218,864691135103974989,116048299961798597,864691135385367125,504,[372818 137280  27247],[372828 137316  27256],[372798 137304  27253],"[1437.7382983550797, 280.3323192046406, 1089.8800000000003]",L2/3,nan
677,489490195,t,116958901680874441,864691136370804616,116958901680877756,864691135385367125,6232,[379932 105838  26730],[379816 105856  26731],[379874 105804  26731],"[1477.0474181378659, 157.52300823066528, 1069.2000000000003]",L2/3,nan
765,489412138,t,116536001954229880,864691135386413185,116536001954219543,864691135385367125,18504,[376482 100708  26437],[376400 100700  26439],[376452 100722  26440],"[1465.0883671453817, 135.8783437759049, 1057.4800000000002]",L2/3,nan
766,493205927,t,117593113664964552,864691135676148210,117593182384414360,864691135385367125,6024,[384146 112830  26568],[384108 112928  26560],[384182 112854  26565],"[1491.4017041557338, 186.8536787466497, 1062.7200000000003]",L2/3,nan
871,497573424,t,118298038124371394,864691135617770127,118298038124356264,864691135385367125,1380,[389330 121624  27022],[389252 121658  27012],[389266 121608  27020],"[1508.9930070084727, 223.70308492834033, 1080.8800000000003]",L2/3,nan
894,483154631,t,116045757341220384,864691136388573047,116045757341230708,864691135385367125,33412,[373016 118102  27332],[372978 118038  27342],[372998 118108  27339],"[1445.2131758936266, 203.98125887288276, 1093.2800000000002]",L2/3,nan
940,483524951,t,116258581493539227,864691135360127559,116258581493529280,864691135385367125,10384,[374728 131156  26787],[374682 131132  26772],[374721 131223  26776],"[1447.4841929228473, 256.59540375477724, 1071.4800000000002]",L2/3,nan
946,478483390,t,115483013344838237,864691135986925827,115483013344835262,864691135385367125,4604,[369050 119764  25727],[369028 119912  25732],[369040 119842  25727],"[1428.8301318253127, 209.22132252284774, 1029.0800000000002]",L2/3,nan
969,500877372,t,119072094377257149,864691135888518537,119072094377263198,864691135385367125,2016,[394930 121660  27411],[394888 121714  27416],[394890 121680  27414],"[1531.295217818772, 225.7988256024131, 1096.4400000000003]",L2/3,nan
1013,485060112,t,116395333319288387,864691135682618052,116395402038761290,864691135385367125,29548,[375416 101512  27232],[375520 101584  27241],[375449 101508  27237],"[1460.560300084042, 138.710473837892, 1089.2800000000002]",L2/3,nan
1043,489412233,t,116536070673712916,864691136723347709,116536070673709103,864691135385367125,6984,[376556 101074  26473],[376550 101170  26463],[376564 101134  26467],"[1465.2556447686343, 137.36257091376447, 1058.9200000000003]",L2/3,nan
1058,502688041,t,118860163444046795,864691136925357130,118860163444046560,864691135385367125,3928,[393720 115880  27113],[393736 115792  27110],[393706 115822  27110],"[1528.488676252334, 202.34497038763325, 1084.5200000000002]",L2/3,nan
1076,496621360,t,117663619982198626,864691135982474915,117593251238018106,864691135385367125,3524,[384588 113542  27462],[384530 113502  27478],[384590 113526  27470],"[1492.9147568266148, 189.84493259999277, 1098.4800000000002]",L2/3,nan
1190,496638791,t,118014364191093360,864691135941170036,118084732935283623,864691135385367125,5780,[387562 105254  27144],[387626 105168  27161],[387574 105214  27153],"[1507.6548761386846, 157.85589068458142, 1085.7600000000002]",L2/3,nan
1252,491849380,t,117315968149164840,864691135570741997,117315968149170061,864691135385367125,628,[382172 144638  27276],[382212 144750  27283],[382180 144702  27276],"[1472.4467513583315, 312.9133408295231, 1091.0400000000002]",L4,nan
1258,493370400,t,117382626041914397,864691136266708724,117382626041905288,864691135385367125,15116,[382596 117012  27615],[382616 117086  27601],[382624 117054  27607],"[1483.7673557628823, 202.97765805129293, 1104.6000000000004]",L2/3,nan
1389,483410359,t,116116125951478771,864691135761516598,116116057232017619,864691135385367125,1476,[373350 117988  26576],[373398 117920  26583],[373398 117934  26582],"[1446.5838350289703, 203.6434341628637, 1063.0400000000002]",L2/3,nan
