,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
3,205940594,t,93182855278367037,864691135945839652,93182855278370320,864691136812258931,4732,[206670 170130  20784],[206686 170040  20785],[206692 170120  20786],"[764.223006963848, 353.30929314974435, 831.3600000000002]",L4
18,149891469,t,88670253600571693,864691135915478374,88670253600563416,864691136812258931,3392,[173814 102746  22073],[173776 102786  22059],[173822 102660  22065],"[656.7907252390712, 73.34460267001926, 882.9200000000003]",L1
35,161490637,t,89169363093443344,864691135490498663,89169363093437086,864691136812258931,1000,[177568 151474  21952],[177576 151472  21944],[177585 151467  21950],"[654.7618846951852, 268.82363429757646, 878.0800000000003]",L2/3
38,202897597,t,92689999124331182,864691135617776015,92619630380133876,864691136812258931,7740,[202786 167780  20435],[202716 167712  20439],[202730 167784  20434],"[749.5653901161226, 342.59101136835426, 817.4000000000002]",L4
40,136297288,t,87344998558789102,864691136236824079,87344998558788367,864691136812258931,380,[164264 190214  22540],[164192 190242  22539],[164206 190186  22540],"[588.2427337453579, 418.5558847078139, 901.6000000000003]",L5
43,189141583,t,91562793614393369,864691136089092407,91562793614403386,864691136812258931,2768,[195048 158222  20871],[195028 158096  20881],[195072 158154  20873],"[722.0633101775153, 301.8068511213851, 834.8400000000003]",L4
55,129339464,t,86990955747751672,864691136422835759,86990955747764369,864691136812258931,3044,[161584 173798  22233],[161592 173818  22237],[161586 173804  22234],"[583.2865212735966, 352.2074464900627, 889.3200000000003]",L4
57,153332069,t,88681042491694012,864691135865014748,88610673747532741,864691136812258931,4684,[173710 183178  21922],[173566 183160  21930],[173636 183142  21929],"[628.3358654419465, 393.8120737086974, 876.8800000000002]",L5
77,115333355,t,85725074266897041,864691136951546847,85725142986389785,864691136812258931,5040,[152140 179902  22322],[152106 179956  22326],[152162 179896  22323],"[543.526275743556, 373.23814090063524, 892.8800000000002]",L5
97,154011284,t,88536800376819158,864691135988627456,88536800376827639,864691136812258931,3616,[172782 157030  22147],[172768 157050  22154],[172794 156984  22147],"[633.753784168093, 289.29455572880624, 885.8800000000002]",L4
103,150231799,t,88816007610722700,864691135256399279,88816076330194852,864691136812258931,3644,[174888 140474  22065],[174900 140530  22059],[174900 140472  22063],"[647.9175302125387, 224.05675801928476, 882.6000000000003]",L2/3
112,124969437,t,86498718135978754,864691135753955277,86498718135983499,864691136812258931,3728,[158176 176470  22296],[158202 176394  22294],[158180 176412  22298],"[568.7748745707229, 361.6666683381312, 891.8400000000003]",L4
114,182231521,t,90647106653867299,864691136388605303,90647106653867355,864691136812258931,4168,[188216 151322  21273],[188124 151354  21272],[188195 151365  21274],"[697.2447999678994, 271.9300853162449, 850.9200000000003]",L2/3
133,132968833,t,87204398442667892,864691136951664863,87204398442669341,864691136812258931,260,[162980 191550  22412],[163026 191644  22419],[162948 191628  22418],"[582.6605174867152, 423.4319172796643, 896.4800000000002]",L5
140,151249829,t,88741859295297548,864691136973874972,88741859295295822,864691136812258931,2452,[174484 112170  22049],[174430 112164  22046],[174478 112180  22047],"[656.1751041513414, 111.13073539984943, 881.9600000000003]",L2/3
146,151586293,t,88885276776556833,864691135909937833,88885276776571168,864691136812258931,9020,[175404 132206  21925],[175390 132194  21937],[175430 132222  21928],"[652.8560907935506, 191.29049641702562, 877.0000000000002]",L2/3
157,201936601,t,92478343135893313,864691135490428519,92478343135900793,864691136812258931,6224,[201458 164008  20393],[201526 164034  20400],[201476 163966  20401],"[745.588609726436, 327.0974544580704, 815.7200000000003]",L4
159,136648170,t,87556448388860727,864691136723447037,87556448388869368,864691136812258931,3028,[165554 193120  22674],[165540 193184  22681],[165602 193146  22678],"[592.3700000338125, 430.58537551101034, 906.9600000000003]",L5
185,174947615,t,90295537877844470,864691135502364341,90295537877847565,864691136812258931,11328,[185752 153764  21646],[185750 153744  21657],[185808 153760  21649],"[686.5749677283482, 280.8019081266842, 865.8400000000003]",L2/3
189,150231870,t,88815801452299456,864691136286841795,88815801452301844,864691136812258931,2652,[174986 138696  22067],[174894 138692  22064],[174966 138760  22060],"[648.927890176612, 217.00598637761334, 882.6800000000003]",L2/3
213,132494846,t,86782460855283154,864691136436701086,86782460855293256,864691136812258931,3764,[159794 193544  22199],[159780 193524  22203],[159710 193544  22198],"[569.2698580500786, 430.266853406068, 887.9600000000003]",L5
214,154658096,t,88610536375471243,864691135725762879,88610536375455463,864691136812258931,4000,[173242 182256  22229],[173216 182236  22215],[173222 182230  22222],"[626.7924193463722, 389.97495211171145, 889.1600000000002]",L5
222,182308820,t,90577012854478476,864691135510809296,90647381598617929,864691136812258931,6344,[187932 153342  21560],[187938 153450  21548],[187882 153414  21553],"[695.4089043894662, 279.8803295530648, 862.4000000000002]",L2/3
239,188554586,t,91631719249535870,864691135576929541,91631787969010480,864691136812258931,5128,[195484 147638  20869],[195510 147666  20871],[195486 147642  20868],"[727.4904992559523, 259.7839519983249, 834.7600000000002]",L2/3
241,182157710,t,90789356037544807,864691136672868487,90789356037547114,864691136812258931,3648,[189322 162862  21539],[189388 162918  21542],[189376 162854  21538],"[697.6288562270254, 318.3000095860755, 861.5600000000003]",L4
247,150732724,t,88670528411460539,864691135373819592,88670528411467185,864691136812258931,1812,[173950 104840  21629],[173948 104810  21630],[173950 104828  21632],"[656.6026386535787, 81.73614218529046, 865.1600000000002]",L1
249,154778904,t,88469661448334279,864691135864932828,88469661448348945,864691136812258931,6700,[172302 181418  22411],[172306 181400  22418],[172308 181384  22418],"[623.3388733312372, 386.30800189097664, 896.4400000000003]",L5
254,124968872,t,86428349391820688,864691135113141145,86428349391817338,864691136812258931,2856,[157536 176516  22302],[157590 176392  22299],[157583 176473  22299],"[566.2085794869425, 361.6268494611461, 892.0800000000003]",L4
261,174947415,t,90295331652695925,864691135865584517,90295331652693582,864691136812258931,3996,[185500 152042  21497],[185634 151982  21505],[185576 152060  21499],"[686.1711322287176, 273.85226605753866, 859.8800000000002]",L2/3
270,139564315,t,87482574884358938,864691135570702829,87482574884349651,864691136812258931,5124,[165168 167062  22272],[165198 167034  22266],[165162 167046  22270],"[599.9162927980327, 326.6154412727091, 890.8800000000002]",L4
273,132968902,t,87204467162136057,864691135657795202,87204467162140115,864691136812258931,2588,[163092 191746  22416],[162984 191716  22420],[163042 191762  22417],"[583.0384826091461, 424.2519796957193, 896.6400000000002]",L5
287,152138262,t,88681248649935055,864691135278536865,88681248649939650,864691136812258931,4272,[173998 184722  21738],[173968 184708  21753],[174010 184700  21737],"[628.9452078669386, 400.0649755797573, 869.5200000000002]",L5
297,171569708,t,90577974860351093,864691135581832045,90577974860357945,864691136812258931,972,[187456 160738  21339],[187510 160776  21349],[187437 160799  21344],"[690.9337341908529, 309.1858089672195, 853.5600000000003]",L4
312,136649078,t,87767623340818399,864691135081716471,87767623340827553,864691136812258931,3240,[167268 193446  22640],[167262 193378  22649],[167238 193459  22641],"[599.0862597953865, 432.48195316959993, 905.6000000000003]",L5
313,199400135,t,92689105771055828,864691135370128370,92689105771050943,864691136812258931,376,[203150 161210  20402],[203150 161182  20399],[203124 161192  20400],"[753.3063025159527, 316.5379134639437, 816.0800000000003]",L4
348,188549656,t,91280150406658526,864691135382918635,91280150406659223,864691136812258931,4732,[192716 149236  20963],[192760 149192  20956],[192788 149254  20960],"[715.9035320510374, 265.18664012482526, 838.5200000000002]",L2/3
349,136647738,t,87415710900594592,864691136008415404,87415710900578939,864691136812258931,2284,[164724 193006  22755],[164682 193004  22739],[164700 192998  22747],"[589.1023766548409, 429.8417536627582, 910.2000000000003]",L5
370,158469839,t,88957982049643691,864691135359197528,88957982049651577,864691136812258931,3704,[175824 149422  22047],[175780 149290  22053],[175846 149362  22052],"[648.5278048177701, 260.0388697542317, 881.8800000000002]",L2/3
374,141082382,t,87696155018098225,864691135478256582,87696155018101316,864691136812258931,7456,[166882 185512  22306],[166866 185516  22306],[166806 185508  22306],"[600.3141098333725, 400.7321497641579, 892.2400000000002]",L5
382,147793670,t,88186674643140072,864691135428740656,88116305898961211,864691136812258931,1344,[170044 169784  22414],[169954 169784  22409],[170006 169862  22410],"[618.3971224625776, 339.1618947520824, 896.5600000000003]",L4
396,159659609,t,89304259425886078,864691135359134040,89304328145378927,864691136812258931,2112,[178226 108194  21607],[178280 108248  21617],[178292 108266  21616],"[672.4722713250374, 96.59180207884528, 864.2800000000002]",L1
399,199399773,t,92618805746393822,864691135322987932,92689174490588869,864691136812258931,3016,[202784 161634  20406],[202828 161630  20400],[202758 161642  20407],"[751.7000573382463, 318.0998636645247, 816.2400000000002]",L4
430,151974875,t,88399086545856563,864691135994574250,88399086545853659,864691136812258931,2048,[171936 179654  22515],[172020 179664  22510],[171957 179654  22512],"[622.4954152140584, 379.1512560938588, 900.6000000000003]",L5
444,164309830,t,89943694157065796,864691136487243026,89943694157064601,864691136812258931,408,[183220 153668  21742],[183196 153766  21747],[183241 153717  21739],"[676.51897563129, 279.5366560000687, 869.6800000000003]",L2/3
446,152879075,t,88326450058718994,864691136966045646,88326518778220912,864691136812258931,252,[171528 163002  22283],[171386 163072  22290],[171454 163010  22290],"[626.6748951797086, 312.65448147119963, 891.3200000000003]",L4
450,160469004,t,88884727020647420,864691136486938898,88884727020657224,864691136812258931,8816,[175580 128018  21799],[175548 128040  21806],[175512 128116  21806],"[655.0174448635161, 174.66360047748714, 871.9600000000003]",L2/3
453,151729714,t,88740759783963814,864691135799885666,88740759783957136,864691136812258931,4776,[174220 103920  22325],[174260 104024  22316],[174246 103990  22320],"[657.9992620608291, 78.16427389848035, 893.0000000000002]",L1
464,151586289,t,88885414215611541,864691135654475970,88885414215605117,864691136812258931,7728,[175442 133160  21989],[175372 133212  21985],[175420 133198  21983],"[652.6749260733354, 195.10522305784147, 879.5600000000003]",L2/3
469,155192086,t,88682554454205070,864691135538472562,88682485734717881,864691136812258931,1848,[174004 194254  22769],[174030 194156  22763],[173998 194230  22766],"[625.6460423802101, 438.04997876642545, 910.7600000000002]",L5
472,146117611,t,87834075007832217,864691135373755080,87834075007837372,864691136812258931,2836,[167844 164202  22222],[167916 164116  22226],[167856 164174  22223],"[611.5766225434398, 316.1518889969106, 888.8800000000002]",L4
478,164499258,t,89865560045103188,864691135781153104,89935928789261231,864691136812258931,3788,[182792  95758  21418],[182916  95748  21412],[182872  95774  21414],"[695.0022465582244, 48.6289055025127, 856.7200000000003]",L1
479,154778956,t,88469730167776286,864691135367150841,88469730167778139,864691136812258931,6028,[172296 181610  22386],[172358 181578  22387],[172350 181588  22390],"[623.2480290480529, 387.0709876812852, 895.4400000000003]",L5
481,115332236,t,85514105473317118,864691135969037669,85584474217537777,864691136812258931,1740,[151066 180644  22347],[151100 180712  22335],[151046 180678  22343],"[538.9879450760787, 375.82042569372766, 893.8800000000002]",L5
518,147110062,t,88115756143057890,864691135394529010,88115756143064178,864691136812258931,3476,[169698 165598  22318],[169722 165602  22321],[169686 165577  22322],"[618.4777247569855, 322.3609871792715, 892.7200000000003]",L4
522,136647339,t,87345135997767259,864691135564534807,87345135997786021,864691136812258931,10092,[164012 191682  22569],[164016 191634  22572],[163998 191667  22574],"[586.7267909682671, 424.3176869863191, 902.7600000000002]",L5
523,152501269,t,88743577282280983,864691135699572514,88743577282276461,864691136812258931,572,[174258 125096  22098],[174382 125084  22098],[174324 125122  22092],"[650.7682436212415, 162.55919727854112, 883.9200000000003]",L2/3
530,188872181,t,91280081753839636,864691135864051326,91280081753833970,864691136812258931,5880,[192668 148828  21046],[192560 148736  21042],[192628 148762  21041],"[715.8545008411679, 263.544116474932, 841.8400000000003]",L2/3
538,185338233,t,91493249369602084,864691136134407563,91493180650095936,864691136812258931,1868,[194458 164062  19772],[194480 164016  19771],[194444 164000  19772],"[717.6763325394335, 324.8722717159239, 790.8800000000002]",L4
554,150683851,t,88814289623824744,864691135809759436,88814289623829123,864691136812258931,3128,[174764 127646  22080],[174868 127640  22080],[174823 127637  22080],"[651.8955531141531, 172.89678642239824, 883.2000000000003]",L2/3
558,141082167,t,87696155018108109,864691135210356416,87696223737565959,864691136812258931,3072,[166438 185536  22317],[166452 185654  22310],[166462 185600  22316],"[598.5365010982579, 400.6729958560549, 892.6800000000003]",L5
582,153095384,t,88745226549694550,864691135502367669,88745226549707262,864691136812258931,4172,[174542 136926  22082],[174614 136952  22083],[174560 136940  22082],"[647.7757110514546, 209.79813931600395, 883.2800000000002]",L2/3
587,188472722,t,91703668541415892,864691136311979581,91703668541442373,864691136812258931,4244,[195812 159104  20618],[195804 159026  20631],[195828 159034  20624],"[724.8001957144699, 305.5877739660896, 824.7200000000003]",L4
588,155339344,t,88540786039376795,864691135683637746,88540786039385509,864691136812258931,2912,[172758 186868  21627],[172774 186852  21628],[172712 186883  21626],"[623.2559372686576, 408.18401838414843, 865.0800000000003]",L5
589,147109441,t,88045456118378316,864691136109217720,88045456118387687,864691136812258931,2748,[169060 166568  22342],[169124 166590  22350],[169052 166592  22348],"[615.5972716055943, 326.0038011523755, 893.6800000000003]",L4
591,174947200,t,90295331719343287,864691136175498502,90224962975146151,864691136812258931,13028,[185398 152208  21567],[185358 152128  21559],[185380 152156  21560],"[685.7068133787116, 274.47817979403044, 862.6800000000003]",L2/3
593,178164812,t,90788737495616863,864691135865591941,90788737495634536,864691136812258931,2572,[189104 158176  21449],[189060 158150  21460],[189100 158150  21457],"[698.3938216923516, 299.55133635736786, 857.9600000000003]",L4
607,149895614,t,88670734570265798,864691136109238200,88670734570255689,864691136812258931,976,[173712 106526  21990],[173766 106438  21984],[173767 106501  21991],"[655.0664829719051, 88.37150696212542, 879.6000000000003]",L1
616,173628169,t,90577975061583898,864691136602069713,90577975061590748,864691136812258931,580,[187582 160820  22781],[187604 160846  22786],[187580 160866  22783],"[691.4072292350698, 309.55648732253843, 911.2400000000002]",L4
622,171569583,t,90507674835634421,864691135467660940,90507674835627060,864691136812258931,6260,[187276 161258  21322],[187316 161194  21315],[187304 161175  21326],"[690.0351900633116, 311.19514180447203, 852.8800000000002]",L4
652,155252224,t,88822810906107595,864691136266409460,88822810906108798,864691136812258931,1540,[174726 191058  22644],[174728 190976  22648],[174762 191002  22646],"[629.6372516835851, 425.5663315310757, 905.7600000000002]",L5
664,118042490,t,86076643109920129,864691135501600834,86076643109925874,864691136812258931,2568,[154850 177522  22353],[154776 177618  22354],[154816 177566  22352],"[555.1547489418282, 364.69913562618643, 894.1200000000002]",L4
665,159660314,t,89374490731069897,864691135737819761,89374422011597199,864691136812258931,3956,[179084 106764  21576],[179064 106668  21580],[179038 106697  21581],"[676.3897423774048, 91.19268691487046, 863.0400000000003]",L1
675,143736441,t,87835518117046970,864691136011067043,87835518117051045,864691136812258931,6108,[167498 174896  22408],[167492 174910  22412],[167446 174844  22410],"[606.4697150295071, 358.64448985452015, 896.3200000000003]",L4
685,139001363,t,87412481018041658,864691136020235512,87412481018041800,864691136812258931,4424,[164524 168808  22230],[164566 168846  22230],[164548 168828  22230],"[596.7413995483987, 333.34835185086393, 889.2000000000003]",L4
690,152922780,t,88537350132806008,864691135407458505,88537350132830231,864691136812258931,2464,[172894 161048  22250],[172810 161008  22266],[172806 160982  22261],"[632.7993122953976, 305.34444268928775, 890.0000000000002]",L4
691,147110459,t,88185712570370184,864691136008397228,88185712570354038,864691136812258931,2624,[170086 162786  22283],[170066 162786  22271],[170082 162796  22275],"[621.0041467228494, 311.2910549278799, 891.3200000000003]",L4
692,195984618,t,91844818279553139,864691135696097434,91844818279565758,864691136812258931,920,[196710 162250  20116],[196716 162260  20124],[196602 162350  20122],"[727.281759203279, 318.43695147482566, 804.6400000000002]",L4
694,161490992,t,89239731837587940,864691135864383358,89239800557084345,864691136812258931,8168,[178014 151740  21942],[178004 151768  21938],[178014 151722  21936],"[656.4463623262975, 270.03907130140783, 877.6800000000003]",L2/3
709,159864401,t,88953927533603353,864691136008649134,88953858814122544,864691136812258931,3492,[175966 119028  21707],[175880 118942  21713],[175902 118954  21712],"[659.6896899865754, 138.97500760091032, 868.2800000000002]",L2/3
725,139173045,t,87763843702587438,864691136388557072,87763843702602556,864691136812258931,4252,[167326 165162  22211],[167342 165088  22222],[167267 165142  22219],"[609.1778290768428, 319.7966899386097, 888.4400000000003]",L4
734,154410061,t,88465675718356375,864691135303422887,88465675718350120,864691136812258931,5676,[172520 151530  22099],[172564 151482  22099],[172512 151482  22095],"[634.6271984649412, 267.28693315238826, 883.9600000000003]",L2/3
