,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer,is_pre_tuned
4,176248876,t,90232797263952496,864691135501569858,90232797263967866,864691135182092034,8540,[185154 210368  23621],[185244 210358  23633],[185186 210344  23626],"[664.4586153605588, 506.1478503531725, 944.8400000000003]",L5,nan
8,189736551,t,91567741617718198,864691135660689904,91567741617716961,864691135182092034,15712,[194914 194964  22111],[194840 194902  22115],[194910 194920  22112],"[708.7202446192002, 448.16887803242014, 884.4400000000003]",L5,nan
17,180419249,t,89036116162103519,864691135736995204,89036116162115715,864691135182092034,2644,[176388 207056  22837],[176442 207056  22846],[176400 207020  22845],"[630.6826837465909, 489.8942340291491, 913.4800000000002]",L5,nan
25,188722054,t,91140581283589200,864691135122603047,91210950027716191,864691135182092034,3444,[192024 157924  21904],[192082 157964  21903],[192036 157910  21903],"[710.1172287547528, 299.56515117698416, 876.1600000000002]",L4,untuned
32,171986619,t,90439711407174583,864691135969038949,90439711407176937,864691135182092034,14668,[186562 179256  22179],[186542 179242  22184],[186528 179214  22178],"[680.9155417736722, 382.6642737082057, 887.1600000000002]",L5,nan
47,188141911,t,91428859622596540,864691136123919654,91428859622576768,864691135182092034,8288,[193920 208816  22852],[193834 208856  22841],[193879 208840  22851],"[699.9302491054253, 503.0195026311228, 914.0800000000003]",L5,nan
54,171623104,t,90438199511552677,864691135212707200,90438199511561596,864691135182092034,6536,[186910 167728  21651],[186834 167794  21656],[186882 167808  21658],"[686.3211704029959, 336.8490645837038, 866.0400000000003]",L4,nan
69,182253389,t,90721461328754010,864691135952026147,90651023865091667,864691135182092034,15816,[188508 180954  22550],[188404 180892  22559],[188434 180898  22551],"[688.0779594988762, 390.10884839919265, 902.0000000000002]",L5,nan
70,183535523,t,90936209760953122,864691135564567575,90936141041493913,864691135182092034,2640,[190332 208072  23340],[190408 208040  23329],[190352 208050  23334],"[685.8922382888297, 498.8039679896873, 933.6000000000003]",L5,untuned
77,147156794,t,88191485006317483,864691135737841265,88191485006334366,864691135182092034,27384,[170500 205936  22221],[170416 205872  22223],[170451 205957  22222],"[607.6107639446436, 483.3785897285052, 888.8400000000003]",L5,nan
89,145005289,t,87980516280156759,864691135490498663,87980516280145138,864691135182092034,5200,[168764 206948  23009],[168918 207036  23007],[168842 206958  23006],"[600.340381514452, 486.8059763887409, 920.3600000000002]",L5,nan
118,186604878,t,91288671822679850,864691135490923495,91288671822675225,864691135182092034,8352,[192896 212770  22100],[192866 212798  22099],[192864 212732  22101],"[694.4713803947445, 518.4183280538475, 884.0000000000002]",L5,nan
127,206806256,t,93257622471769640,864691136329039338,93257622471771233,864691135182092034,1744,[206952 202740  23922],[206944 202636  23924],[206926 202674  23923],"[753.978119499291, 483.351241246651, 956.8800000000002]",L5,nan
129,196501249,t,91993115380487737,864691135233407577,91993115380464337,864691135182092034,924,[198134 218470  24022],[198172 218586  24013],[198206 218512  24020],"[713.3565007745161, 542.9576542923882, 960.8800000000002]",L5,nan
